architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
Direct_LLM_Scoring,1,Overall,0.012,0.0205,0.2615,0.6923,0.2375,0.298,1.2547,0.2577,0.2749,0.199,0.2183,0.3158,0.3421,0.2504,0.2755,195,0,195,qwen
Direct_LLM_Scoring,1,HVAC,-0.0,-0.0143,0.3143,0.6714,0.219,0.2736,1.2493,0.2521,0.2506,0.2186,0.1549,0.3063,0.3044,0.2732,0.1958,70,0,0,qwen
Direct_LLM_Scoring,1,Appliance,0.0051,0.0231,0.2154,0.7385,0.286,0.3501,1.2241,0.3118,0.3723,0.2029,0.257,0.3701,0.4391,0.2548,0.3094,65,0,0,qwen
Direct_LLM_Scoring,1,Shower,0.0333,0.0583,0.25,0.6667,0.2064,0.2618,1.2684,0.2056,0.1978,0.1718,0.2504,0.2572,0.2517,0.2153,0.3134,60,0,0,qwen
Direct_LLM_Scoring,2,Overall,0.0256,0.0179,0.3282,0.6923,0.2352,0.2945,1.2521,0.2576,0.2738,0.1914,0.218,0.3151,0.3378,0.2432,0.2726,195,0,195,qwen
Direct_LLM_Scoring,2,HVAC,0.0476,0.05,0.4,0.6857,0.2145,0.267,1.2448,0.2439,0.2426,0.2107,0.1608,0.2954,0.2944,0.2632,0.2051,70,0,0,qwen
Direct_LLM_Scoring,2,Appliance,-0.0769,-0.1,0.2,0.7077,0.2843,0.3451,1.2139,0.3163,0.3771,0.1962,0.2474,0.3726,0.4333,0.2469,0.2979,65,0,0,qwen
Direct_LLM_Scoring,2,Shower,0.1111,0.1083,0.3833,0.6833,0.2062,0.2639,1.2798,0.2101,0.1982,0.1638,0.2529,0.2656,0.2575,0.213,0.3103,60,0,0,qwen
Direct_LLM_Scoring,3,Overall,0.0275,0.0335,0.3093,0.701,0.2342,0.293,1.2511,0.2555,0.2764,0.1902,0.2147,0.3097,0.338,0.242,0.2733,194,1,195,qwen
Direct_LLM_Scoring,3,HVAC,-0.0476,-0.05,0.3,0.6571,0.2138,0.2639,1.2343,0.2548,0.2533,0.1994,0.1477,0.3003,0.2987,0.2514,0.1898,70,0,0,qwen
Direct_LLM_Scoring,3,Appliance,-0.0313,-0.0312,0.2344,0.6719,0.2798,0.3444,1.2309,0.3019,0.3731,0.1967,0.2475,0.3606,0.4352,0.2527,0.3018,64,0,0,qwen
Direct_LLM_Scoring,3,Shower,0.1778,0.2,0.4,0.7833,0.2093,0.2643,1.2628,0.2068,0.2001,0.1724,0.2578,0.2574,0.2517,0.2181,0.3198,60,0,0,qwen
Direct_LLM_Scoring,4,Overall,-0.0564,-0.0692,0.2769,0.6462,0.2348,0.2942,1.253,0.253,0.2721,0.1982,0.2159,0.3109,0.3365,0.2497,0.2722,195,0,195,qwen
Direct_LLM_Scoring,4,HVAC,-0.0571,-0.0786,0.3286,0.6429,0.2189,0.2734,1.249,0.2509,0.2499,0.2133,0.1616,0.3042,0.303,0.2686,0.2064,70,0,0,qwen
Direct_LLM_Scoring,4,Appliance,-0.0462,-0.0615,0.2308,0.6154,0.2818,0.3423,1.2147,0.3053,0.3702,0.2017,0.2499,0.3608,0.4284,0.2537,0.3011,65,0,0,qwen
Direct_LLM_Scoring,4,Shower,-0.0667,-0.0667,0.2667,0.6833,0.2025,0.2592,1.28,0.1988,0.1916,0.1769,0.2426,0.2554,0.2492,0.2207,0.3047,60,0,0,qwen
Direct_LLM_Scoring,5,Overall,0.0412,0.0361,0.3247,0.6546,0.2326,0.2943,1.2653,0.2531,0.2723,0.1926,0.2124,0.3087,0.3382,0.2468,0.2752,194,1,195,qwen
Direct_LLM_Scoring,5,HVAC,0.0435,0.029,0.2899,0.7101,0.2154,0.2689,1.2484,0.2499,0.2496,0.212,0.1504,0.2961,0.2956,0.272,0.2004,69,0,0,qwen
Direct_LLM_Scoring,5,Appliance,-0.0051,-0.0154,0.2769,0.6462,0.2823,0.3465,1.2274,0.3102,0.3749,0.1986,0.2454,0.3651,0.4376,0.2495,0.3051,65,0,0,qwen
Direct_LLM_Scoring,5,Shower,0.0889,0.1,0.4167,0.6,0.1986,0.2585,1.3016,0.1949,0.1874,0.1639,0.2479,0.2507,0.249,0.2109,0.3128,60,0,0,qwen
Example-Guided_LLM_Scoring,1,Overall,0.2205,0.2308,0.4615,0.7641,0.1953,0.2631,1.3472,0.2004,0.1964,0.1955,0.1888,0.2643,0.2654,0.2643,0.2582,195,0,195,qwen
Example-Guided_LLM_Scoring,1,HVAC,0.181,0.2071,0.4429,0.7286,0.1765,0.232,1.3144,0.1937,0.1924,0.1911,0.1287,0.2477,0.2447,0.2499,0.1776,70,0,0,qwen
Example-Guided_LLM_Scoring,1,Appliance,0.2,0.1923,0.4769,0.7846,0.2239,0.3063,1.368,0.2092,0.2043,0.2493,0.2328,0.2911,0.3011,0.3205,0.3118,65,0,0,qwen
Example-Guided_LLM_Scoring,1,Shower,0.2889,0.3,0.4667,0.7833,0.1862,0.246,1.3212,0.1989,0.1926,0.1423,0.2112,0.2525,0.2467,0.2071,0.2731,60,0,0,qwen
Example-Guided_LLM_Scoring,2,Overall,0.2137,0.2308,0.4513,0.8,0.1974,0.2646,1.3404,0.1988,0.1961,0.201,0.1938,0.2635,0.2639,0.2682,0.2626,195,0,195,qwen
Example-Guided_LLM_Scoring,2,HVAC,0.1429,0.1429,0.3571,0.8,0.1764,0.2317,1.3135,0.1893,0.1882,0.2007,0.1274,0.2444,0.2401,0.2616,0.1701,70,0,0,qwen
Example-Guided_LLM_Scoring,2,Appliance,0.3128,0.3385,0.5692,0.8615,0.228,0.307,1.3465,0.208,0.2045,0.2506,0.249,0.291,0.2974,0.3178,0.321,65,0,0,qwen
Example-Guided_LLM_Scoring,2,Shower,0.1889,0.2167,0.4333,0.7333,0.1888,0.2504,1.3263,0.2001,0.1963,0.1477,0.2114,0.2533,0.2517,0.211,0.2807,60,0,0,qwen
Example-Guided_LLM_Scoring,3,Overall,0.2205,0.2385,0.4821,0.7744,0.1893,0.2547,1.3455,0.1956,0.1916,0.186,0.1839,0.2579,0.2583,0.2554,0.247,195,0,195,qwen
Example-Guided_LLM_Scoring,3,HVAC,0.1714,0.2143,0.4714,0.7429,0.1668,0.22,1.3189,0.1862,0.1859,0.1778,0.1174,0.2378,0.2357,0.2379,0.1578,70,0,0,qwen
Example-Guided_LLM_Scoring,3,Appliance,0.2205,0.2231,0.5077,0.8154,0.22,0.2984,1.3564,0.2056,0.1996,0.2418,0.2332,0.2859,0.2936,0.3147,0.2984,65,0,0,qwen
Example-Guided_LLM_Scoring,3,Shower,0.2778,0.2833,0.4667,0.7667,0.1821,0.2407,1.3218,0.1956,0.1894,0.1352,0.2082,0.2483,0.242,0.1966,0.2698,60,0,0,qwen
Example-Guided_LLM_Scoring,4,Overall,0.241,0.2692,0.4821,0.8205,0.1948,0.2636,1.3532,0.1958,0.1967,0.1934,0.1932,0.2632,0.2695,0.2619,0.2598,195,0,195,qwen
Example-Guided_LLM_Scoring,4,HVAC,0.1524,0.1786,0.3857,0.8429,0.1793,0.2371,1.3224,0.1932,0.1911,0.1977,0.135,0.2522,0.2476,0.2562,0.185,70,0,0,qwen
Example-Guided_LLM_Scoring,4,Appliance,0.2615,0.3,0.5231,0.8,0.2261,0.3098,1.3702,0.2126,0.2195,0.2435,0.2287,0.3033,0.322,0.3147,0.2989,65,0,0,qwen
Example-Guided_LLM_Scoring,4,Shower,0.3222,0.3417,0.55,0.8167,0.179,0.2373,1.3257,0.1807,0.1784,0.1342,0.2226,0.2265,0.2284,0.1979,0.2874,60,0,0,qwen
Example-Guided_LLM_Scoring,5,Overall,0.1453,0.1513,0.4513,0.7436,0.1909,0.2568,1.3452,0.197,0.1925,0.1894,0.1847,0.2606,0.2594,0.2556,0.2517,195,0,195,qwen
Example-Guided_LLM_Scoring,5,HVAC,0.1524,0.1714,0.4,0.7429,0.1691,0.2252,1.3318,0.182,0.1822,0.1872,0.1249,0.2383,0.2363,0.2454,0.1734,70,0,0,qwen
Example-Guided_LLM_Scoring,5,Appliance,0.159,0.1538,0.5231,0.7846,0.223,0.2982,1.3372,0.2156,0.2061,0.245,0.2253,0.2927,0.2925,0.3128,0.2943,65,0,0,qwen
Example-Guided_LLM_Scoring,5,Shower,0.1222,0.125,0.4333,0.7,0.1815,0.2426,1.3366,0.1942,0.1898,0.1317,0.2104,0.2483,0.2465,0.1899,0.2773,60,0,0,qwen
LLM-Parameterized_Reference_Scoring,1,Overall,0.8969,0.9021,0.9175,0.9691,0.0729,0.1661,2.2785,0.1131,0.1532,0.009,0.0163,0.1954,0.2607,0.0399,0.051,194,1,195,qwen
LLM-Parameterized_Reference_Scoring,1,HVAC,0.9034,0.913,0.913,0.971,0.0568,0.1199,2.1109,0.1034,0.0999,0.0,0.0239,0.1729,0.1631,0.0,0.0308,69,0,0,qwen
LLM-Parameterized_Reference_Scoring,1,Appliance,0.9179,0.9154,0.9385,0.9692,0.1217,0.2432,1.9984,0.1816,0.3051,0.0,0.0,0.2681,0.4057,0.0,0.0,65,0,0,qwen
LLM-Parameterized_Reference_Scoring,1,Shower,0.8667,0.875,0.9,0.9667,0.0386,0.0928,2.4041,0.0501,0.05,0.029,0.0251,0.1058,0.1039,0.0718,0.0855,60,0,0,qwen
LLM-Parameterized_Reference_Scoring,2,Overall,0.8803,0.8897,0.8923,0.9692,0.0692,0.157,2.2688,0.1062,0.1444,0.0092,0.0169,0.1818,0.2476,0.04,0.0513,195,0,195,qwen
LLM-Parameterized_Reference_Scoring,2,HVAC,0.8571,0.8714,0.8429,0.9571,0.0509,0.1053,2.0688,0.0898,0.0886,0.0,0.0251,0.1489,0.1451,0.0,0.0328,70,0,0,qwen
