scenario_id,description,location,appliance,housing_type,occupants,peak_rate,offpeak_rate,kwh_per_cycle,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,raw_cost,raw_emissions
0,When should I run my dishwasher after dinner tonight?,"Philadelphia, PA",dishwasher,Apartment,3,0.19,0.09,1.4,2:00 AM,8.8,7.06,7.83,8.26,0.126,1.19
0,When should I run my dishwasher after dinner tonight?,"Philadelphia, PA",dishwasher,Apartment,3,0.19,0.09,1.4,3:00 PM,8.8,7.06,4.28,1.2,0.126,1.19
0,When should I run my dishwasher after dinner tonight?,"Philadelphia, PA",dishwasher,Apartment,3,0.19,0.09,1.4,7:00 PM,8.8,7.06,4.28,1.2,0.126,1.19
1,What's the best time to run my dishwasher today?,"Lancaster, PA",dishwasher,Single-family,4,0.19,0.1,1.4,12:00 AM,8.64,7.06,8.9,8.26,0.14,1.19
1,What's the best time to run my dishwasher today?,"Lancaster, PA",dishwasher,Single-family,4,0.19,0.1,1.4,7:00 PM,8.64,7.06,4.28,1.2,0.14,1.19
1,What's the best time to run my dishwasher today?,"Lancaster, PA",dishwasher,Single-family,4,0.19,0.1,1.4,2:00 PM,8.64,7.06,4.28,1.2,0.14,1.19
2,Should I delay my dishwasher until off-peak hours?,"Pittsburgh, PA",dishwasher,Apartment,2,0.17,0.08,0.95,10:00 PM,9.36,8.08,10,10,0.076,0.807
2,Should I delay my dishwasher until off-peak hours?,"Pittsburgh, PA",dishwasher,Apartment,2,0.17,0.08,0.95,3:00 PM,9.36,8.08,10,10,0.076,0.807
2,Should I delay my dishwasher until off-peak hours?,"Pittsburgh, PA",dishwasher,Apartment,2,0.17,0.08,0.95,2:00 PM,9.36,8.08,10,10,0.076,0.807
3,When should I run my dishwasher to save money?,"Harrisburg, PA",dishwasher,Townhouse,3,0.17,0.09,1.1,2:00 PM,9.1,7.74,10,10,0.099,0.935
3,When should I run my dishwasher to save money?,"Harrisburg, PA",dishwasher,Townhouse,3,0.17,0.09,1.1,9:00 PM,9.1,7.74,10,10,0.099,0.935
3,When should I run my dishwasher to save money?,"Harrisburg, PA",dishwasher,Townhouse,3,0.17,0.09,1.1,4:00 PM,9.1,7.74,10,10,0.099,0.935
4,What time minimizes my dishwasher electricity cost?,"Allentown, PA",dishwasher,Single-family,2,0.19,0.08,1.25,5:00 PM,9.09,7.4,10,10,0.1,1.062
4,What time minimizes my dishwasher electricity cost?,"Allentown, PA",dishwasher,Single-family,2,0.19,0.08,1.25,7:00 PM,9.09,7.4,10,10,0.1,1.062
4,What time minimizes my dishwasher electricity cost?,"Allentown, PA",dishwasher,Single-family,2,0.19,0.08,1.25,4:00 PM,9.09,7.4,10,10,0.1,1.062
5,When should I run my dishwasher after dinner tonight?,"Erie, PA",dishwasher,Townhouse,2,0.19,0.08,1.25,5:00 PM,9.09,7.4,10,10,0.1,1.062
5,When should I run my dishwasher after dinner tonight?,"Erie, PA",dishwasher,Townhouse,2,0.19,0.08,1.25,11:00 PM,9.09,7.4,10,10,0.1,1.062
5,When should I run my dishwasher after dinner tonight?,"Erie, PA",dishwasher,Townhouse,2,0.19,0.08,1.25,4:00 PM,9.09,7.4,10,10,0.1,1.062
6,What's the best time to run my dishwasher today?,"Scranton, PA",dishwasher,Apartment,2,0.17,0.08,1.25,8:00 PM,9.09,7.4,10,10,0.1,1.062
6,What's the best time to run my dishwasher today?,"Scranton, PA",dishwasher,Apartment,2,0.17,0.08,1.25,3:00 PM,9.09,7.4,10,10,0.1,1.062
6,What's the best time to run my dishwasher today?,"Scranton, PA",dishwasher,Apartment,2,0.17,0.08,1.25,4:00 PM,9.09,7.4,10,10,0.1,1.062
7,Should I delay my dishwasher until off-peak hours?,"Bethlehem, PA",dishwasher,Townhouse,4,0.17,0.09,1.55,8:00 PM,8.64,6.72,10,10,0.1395,1.317
7,Should I delay my dishwasher until off-peak hours?,"Bethlehem, PA",dishwasher,Townhouse,4,0.17,0.09,1.55,4:00 PM,8.64,6.72,10,10,0.1395,1.317
7,Should I delay my dishwasher until off-peak hours?,"Bethlehem, PA",dishwasher,Townhouse,4,0.17,0.09,1.55,5:00 PM,8.64,6.72,10,10,0.1395,1.317
8,When should I run my dishwasher to save money?,"Reading, PA",dishwasher,Townhouse,4,0.17,0.09,1.55,2:00 PM,8.64,6.72,10,10,0.1395,1.317
8,When should I run my dishwasher to save money?,"Reading, PA",dishwasher,Townhouse,4,0.17,0.09,1.55,3:00 PM,8.64,6.72,10,10,0.1395,1.317
8,When should I run my dishwasher to save money?,"Reading, PA",dishwasher,Townhouse,4,0.17,0.09,1.55,7:00 PM,8.64,6.72,10,10,0.1395,1.317
9,What time minimizes my dishwasher electricity cost?,"York, PA",dishwasher,Townhouse,4,0.18,0.08,1.4,2:00 PM,8.95,7.06,10,10,0.112,1.19
9,What time minimizes my dishwasher electricity cost?,"York, PA",dishwasher,Townhouse,4,0.18,0.08,1.4,3:00 PM,8.95,7.06,10,10,0.112,1.19
9,What time minimizes my dishwasher electricity cost?,"York, PA",dishwasher,Townhouse,4,0.18,0.08,1.4,11:00 PM,8.95,7.06,10,10,0.112,1.19
