model,architecture,n_artifacts,n_runs,min_mtime_utc_iso,max_mtime_utc_iso,span_hours,min_commit_utc_iso,max_commit_utc_iso
deepseek,Direct_LLM_Scoring,10,5,2026-07-29T20:41:22+00:00,2026-07-29T20:41:22+00:00,0.0,2026-07-05T18:56:05-04:00,2026-07-31T20:15:01-04:00
deepseek,Example-Guided_LLM_Scoring,10,5,2026-07-29T20:41:22+00:00,2026-07-29T20:41:22+00:00,0.0,2026-07-21T10:10:08-04:00,2026-07-21T10:10:08-04:00
deepseek,LLM-Parameterized_Reference_Scoring,10,5,2026-07-29T20:41:22+00:00,2026-07-29T20:41:23+00:00,0.0,2026-06-28T08:14:23-04:00,2026-07-31T20:15:01-04:00
gemini,Direct_LLM_Scoring,10,5,2026-07-29T20:41:24+00:00,2026-07-29T20:41:24+00:00,0.0,2026-07-05T21:41:49-04:00,2026-07-31T20:15:01-04:00
gemini,Example-Guided_LLM_Scoring,10,5,2026-07-29T20:41:24+00:00,2026-07-29T20:41:24+00:00,0.0,2026-07-21T10:10:08-04:00,2026-07-21T10:10:08-04:00
gemini,LLM-Parameterized_Reference_Scoring,10,5,2026-07-29T20:41:24+00:00,2026-07-29T20:41:24+00:00,0.0,2026-07-04T14:35:33-04:00,2026-07-31T20:15:01-04:00
gptoss,Direct_LLM_Scoring,10,5,2026-07-29T20:41:23+00:00,2026-07-29T20:41:23+00:00,0.0,2026-07-05T09:56:27-04:00,2026-07-31T20:15:01-04:00
gptoss,Example-Guided_LLM_Scoring,10,5,2026-07-29T20:41:23+00:00,2026-07-29T20:41:23+00:00,0.0,2026-07-21T10:10:08-04:00,2026-07-21T10:10:08-04:00
gptoss,LLM-Parameterized_Reference_Scoring,10,5,2026-07-29T20:41:23+00:00,2026-07-29T20:41:23+00:00,0.0,2026-07-03T23:03:04-04:00,2026-07-31T20:15:01-04:00
qwen,Direct_LLM_Scoring,10,5,2026-07-29T20:41:25+00:00,2026-07-29T20:41:25+00:00,0.0,2026-07-05T11:42:21-04:00,2026-07-31T20:15:01-04:00
qwen,Example-Guided_LLM_Scoring,10,5,2026-07-29T20:41:25+00:00,2026-07-29T20:41:25+00:00,0.0,2026-07-21T10:10:08-04:00,2026-07-21T10:10:08-04:00
qwen,LLM-Parameterized_Reference_Scoring,10,5,2026-07-29T20:41:25+00:00,2026-07-29T20:41:25+00:00,0.0,2026-07-03T23:03:04-04:00,2026-07-31T20:15:01-04:00
