source,model,architecture,decision_type,criterion,statistic,value,sd_across_runs
ground_truth,ground_truth,GroundTruth,Overall,all,marginal_mean,0.663775,
ground_truth,ground_truth,GroundTruth,Overall,all,marginal_sd,0.265275,
ground_truth,ground_truth,GroundTruth,Overall,all,marginal_frac_in_central_band,0.368474,
ground_truth,ground_truth,GroundTruth,Overall,all,marginal_n_scores,2988.0,
ground_truth,ground_truth,GroundTruth,Overall,mavt_aggregate,within_scenario_aggregate_range,0.14461,
ground_truth,ground_truth,GroundTruth,Overall,mavt_aggregate,within_scenario_aggregate_sd,0.073875,
ground_truth,ground_truth,GroundTruth,Overall,mavt_aggregate,n_scenarios,195.0,
ground_truth,ground_truth,GroundTruth,HVAC,mavt_aggregate,within_scenario_aggregate_range,0.080443,
ground_truth,ground_truth,GroundTruth,HVAC,mavt_aggregate,within_scenario_aggregate_sd,0.038318,
ground_truth,ground_truth,GroundTruth,HVAC,mavt_aggregate,n_scenarios,70.0,
ground_truth,ground_truth,GroundTruth,HVAC,energy_cost,within_scenario_range,0.082,
ground_truth,ground_truth,GroundTruth,HVAC,energy_cost,within_scenario_sd,0.038689,
ground_truth,ground_truth,GroundTruth,HVAC,environmental,within_scenario_range,0.081143,
ground_truth,ground_truth,GroundTruth,HVAC,environmental,within_scenario_sd,0.038332,
ground_truth,ground_truth,GroundTruth,HVAC,comfort,within_scenario_range,0.416857,
ground_truth,ground_truth,GroundTruth,HVAC,comfort,within_scenario_sd,0.198173,
ground_truth,ground_truth,GroundTruth,HVAC,practicality,within_scenario_range,0.086857,
ground_truth,ground_truth,GroundTruth,HVAC,practicality,within_scenario_sd,0.044112,
ground_truth,ground_truth,GroundTruth,Appliance,mavt_aggregate,within_scenario_aggregate_range,0.174462,
ground_truth,ground_truth,GroundTruth,Appliance,mavt_aggregate,within_scenario_aggregate_sd,0.091087,
ground_truth,ground_truth,GroundTruth,Appliance,mavt_aggregate,n_scenarios,65.0,
ground_truth,ground_truth,GroundTruth,Appliance,energy_cost,within_scenario_range,0.229846,
ground_truth,ground_truth,GroundTruth,Appliance,energy_cost,within_scenario_sd,0.132702,
ground_truth,ground_truth,GroundTruth,Appliance,environmental,within_scenario_range,0.025692,
ground_truth,ground_truth,GroundTruth,Appliance,environmental,within_scenario_sd,0.014833,
ground_truth,ground_truth,GroundTruth,Appliance,comfort,within_scenario_range,0.465692,
ground_truth,ground_truth,GroundTruth,Appliance,comfort,within_scenario_sd,0.239935,
ground_truth,ground_truth,GroundTruth,Appliance,practicality,within_scenario_range,0.609385,
ground_truth,ground_truth,GroundTruth,Appliance,practicality,within_scenario_sd,0.313656,
ground_truth,ground_truth,GroundTruth,Shower,mavt_aggregate,within_scenario_aggregate_range,0.187133,
ground_truth,ground_truth,GroundTruth,Shower,mavt_aggregate,within_scenario_aggregate_sd,0.096712,
ground_truth,ground_truth,GroundTruth,Shower,mavt_aggregate,n_scenarios,60.0,
ground_truth,ground_truth,GroundTruth,Shower,energy_cost,within_scenario_range,0.385,
ground_truth,ground_truth,GroundTruth,Shower,energy_cost,within_scenario_sd,0.194749,
ground_truth,ground_truth,GroundTruth,Shower,environmental,within_scenario_range,0.388333,
ground_truth,ground_truth,GroundTruth,Shower,environmental,within_scenario_sd,0.196177,
ground_truth,ground_truth,GroundTruth,Shower,comfort,within_scenario_range,0.337,
ground_truth,ground_truth,GroundTruth,Shower,comfort,within_scenario_sd,0.175063,
ground_truth,ground_truth,GroundTruth,Shower,practicality,within_scenario_range,0.344667,
ground_truth,ground_truth,GroundTruth,Shower,practicality,within_scenario_sd,0.179279,
architecture,deepseek,Direct_LLM_Scoring,Appliance,comfort,within_scenario_range,0.518532,0.012972
architecture,deepseek,Direct_LLM_Scoring,Appliance,comfort,within_scenario_sd,0.28032,0.007293
architecture,deepseek,Direct_LLM_Scoring,Appliance,energy_cost,within_scenario_range,0.647367,0.023541
architecture,deepseek,Direct_LLM_Scoring,Appliance,energy_cost,within_scenario_sd,0.346581,0.011934
architecture,deepseek,Direct_LLM_Scoring,Appliance,environmental,within_scenario_range,0.606397,0.017709
architecture,deepseek,Direct_LLM_Scoring,Appliance,environmental,within_scenario_sd,0.321407,0.009236
architecture,deepseek,Direct_LLM_Scoring,Appliance,mavt_aggregate,n_scenarios,64.4,0.894427
architecture,deepseek,Direct_LLM_Scoring,Appliance,mavt_aggregate,within_scenario_aggregate_range,0.296518,0.011862
architecture,deepseek,Direct_LLM_Scoring,Appliance,mavt_aggregate,within_scenario_aggregate_sd,0.157423,0.00643
architecture,deepseek,Direct_LLM_Scoring,Appliance,practicality,within_scenario_range,0.434471,0.015264
architecture,deepseek,Direct_LLM_Scoring,Appliance,practicality,within_scenario_sd,0.234853,0.007692
architecture,deepseek,Direct_LLM_Scoring,HVAC,comfort,within_scenario_range,0.33474,0.035991
architecture,deepseek,Direct_LLM_Scoring,HVAC,comfort,within_scenario_sd,0.177878,0.018759
architecture,deepseek,Direct_LLM_Scoring,HVAC,energy_cost,within_scenario_range,0.408818,0.017446
architecture,deepseek,Direct_LLM_Scoring,HVAC,energy_cost,within_scenario_sd,0.214873,0.009051
architecture,deepseek,Direct_LLM_Scoring,HVAC,environmental,within_scenario_range,0.388404,0.019684
architecture,deepseek,Direct_LLM_Scoring,HVAC,environmental,within_scenario_sd,0.20428,0.010201
architecture,deepseek,Direct_LLM_Scoring,HVAC,mavt_aggregate,n_scenarios,69.8,0.447214
architecture,deepseek,Direct_LLM_Scoring,HVAC,mavt_aggregate,within_scenario_aggregate_range,0.250195,0.008107
architecture,deepseek,Direct_LLM_Scoring,HVAC,mavt_aggregate,within_scenario_aggregate_sd,0.132151,0.004752
architecture,deepseek,Direct_LLM_Scoring,HVAC,practicality,within_scenario_range,0.255568,0.01671
architecture,deepseek,Direct_LLM_Scoring,HVAC,practicality,within_scenario_sd,0.136248,0.008847
architecture,deepseek,Direct_LLM_Scoring,Overall,all,marginal_frac_in_central_band,0.48348,0.005008
architecture,deepseek,Direct_LLM_Scoring,Overall,all,marginal_mean,0.624634,0.003887
architecture,deepseek,Direct_LLM_Scoring,Overall,all,marginal_n_scores,2323.2,13.682105
architecture,deepseek,Direct_LLM_Scoring,Overall,all,marginal_sd,0.250686,0.002458
architecture,deepseek,Direct_LLM_Scoring,Overall,mavt_aggregate,n_scenarios,193.6,1.140175
architecture,deepseek,Direct_LLM_Scoring,Overall,mavt_aggregate,within_scenario_aggregate_range,0.289425,0.00474
architecture,deepseek,Direct_LLM_Scoring,Overall,mavt_aggregate,within_scenario_aggregate_sd,0.153247,0.002221
architecture,deepseek,Direct_LLM_Scoring,Shower,comfort,within_scenario_range,0.423681,0.028018
architecture,deepseek,Direct_LLM_Scoring,Shower,comfort,within_scenario_sd,0.224325,0.013674
architecture,deepseek,Direct_LLM_Scoring,Shower,energy_cost,within_scenario_range,0.480331,0.021135
architecture,deepseek,Direct_LLM_Scoring,Shower,energy_cost,within_scenario_sd,0.24851,0.009091
architecture,deepseek,Direct_LLM_Scoring,Shower,environmental,within_scenario_range,0.477125,0.018095
architecture,deepseek,Direct_LLM_Scoring,Shower,environmental,within_scenario_sd,0.247222,0.007493
architecture,deepseek,Direct_LLM_Scoring,Shower,mavt_aggregate,n_scenarios,59.4,0.547723
architecture,deepseek,Direct_LLM_Scoring,Shower,mavt_aggregate,within_scenario_aggregate_range,0.327635,0.016019
architecture,deepseek,Direct_LLM_Scoring,Shower,mavt_aggregate,within_scenario_aggregate_sd,0.173401,0.007934
architecture,deepseek,Direct_LLM_Scoring,Shower,practicality,within_scenario_range,0.381472,0.015987
architecture,deepseek,Direct_LLM_Scoring,Shower,practicality,within_scenario_sd,0.204006,0.008741
architecture,deepseek,Example-Guided_LLM_Scoring,Appliance,comfort,within_scenario_range,0.526,0.018043
architecture,deepseek,Example-Guided_LLM_Scoring,Appliance,comfort,within_scenario_sd,0.282316,0.010066
architecture,deepseek,Example-Guided_LLM_Scoring,Appliance,energy_cost,within_scenario_range,0.303385,0.015158
architecture,deepseek,Example-Guided_LLM_Scoring,Appliance,energy_cost,within_scenario_sd,0.166096,0.008031
architecture,deepseek,Example-Guided_LLM_Scoring,Appliance,environmental,within_scenario_range,0.227077,0.013002
architecture,deepseek,Example-Guided_LLM_Scoring,Appliance,environmental,within_scenario_sd,0.124272,0.007624
architecture,deepseek,Example-Guided_LLM_Scoring,Appliance,mavt_aggregate,n_scenarios,65.0,0.0
architecture,deepseek,Example-Guided_LLM_Scoring,Appliance,mavt_aggregate,within_scenario_aggregate_range,0.254669,0.006362
architecture,deepseek,Example-Guided_LLM_Scoring,Appliance,mavt_aggregate,within_scenario_aggregate_sd,0.135748,0.004082
architecture,deepseek,Example-Guided_LLM_Scoring,Appliance,practicality,within_scenario_range,0.515538,0.011595
architecture,deepseek,Example-Guided_LLM_Scoring,Appliance,practicality,within_scenario_sd,0.276088,0.005306
architecture,deepseek,Example-Guided_LLM_Scoring,HVAC,comfort,within_scenario_range,0.273286,0.013369
architecture,deepseek,Example-Guided_LLM_Scoring,HVAC,comfort,within_scenario_sd,0.146029,0.006806
architecture,deepseek,Example-Guided_LLM_Scoring,HVAC,energy_cost,within_scenario_range,0.160714,0.011043
architecture,deepseek,Example-Guided_LLM_Scoring,HVAC,energy_cost,within_scenario_sd,0.08839,0.006373
architecture,deepseek,Example-Guided_LLM_Scoring,HVAC,environmental,within_scenario_range,0.160571,0.010207
architecture,deepseek,Example-Guided_LLM_Scoring,HVAC,environmental,within_scenario_sd,0.088223,0.005888
architecture,deepseek,Example-Guided_LLM_Scoring,HVAC,mavt_aggregate,n_scenarios,70.0,0.0
architecture,deepseek,Example-Guided_LLM_Scoring,HVAC,mavt_aggregate,within_scenario_aggregate_range,0.091121,0.00577
architecture,deepseek,Example-Guided_LLM_Scoring,HVAC,mavt_aggregate,within_scenario_aggregate_sd,0.048495,0.003072
architecture,deepseek,Example-Guided_LLM_Scoring,HVAC,practicality,within_scenario_range,0.079286,0.004345
architecture,deepseek,Example-Guided_LLM_Scoring,HVAC,practicality,within_scenario_sd,0.043608,0.00238
architecture,deepseek,Example-Guided_LLM_Scoring,Overall,all,marginal_frac_in_central_band,0.51453,0.00994
architecture,deepseek,Example-Guided_LLM_Scoring,Overall,all,marginal_mean,0.643671,0.001394
architecture,deepseek,Example-Guided_LLM_Scoring,Overall,all,marginal_n_scores,2340.0,0.0
architecture,deepseek,Example-Guided_LLM_Scoring,Overall,all,marginal_sd,0.238277,0.000949
architecture,deepseek,Example-Guided_LLM_Scoring,Overall,mavt_aggregate,n_scenarios,195.0,0.0
architecture,deepseek,Example-Guided_LLM_Scoring,Overall,mavt_aggregate,within_scenario_aggregate_range,0.162015,0.00121
architecture,deepseek,Example-Guided_LLM_Scoring,Overall,mavt_aggregate,within_scenario_aggregate_sd,0.08633,0.000691
architecture,deepseek,Example-Guided_LLM_Scoring,Shower,comfort,within_scenario_range,0.306333,0.007135
architecture,deepseek,Example-Guided_LLM_Scoring,Shower,comfort,within_scenario_sd,0.160892,0.00368
architecture,deepseek,Example-Guided_LLM_Scoring,Shower,energy_cost,within_scenario_range,0.3535,0.018933
architecture,deepseek,Example-Guided_LLM_Scoring,Shower,energy_cost,within_scenario_sd,0.186639,0.011354
architecture,deepseek,Example-Guided_LLM_Scoring,Shower,environmental,within_scenario_range,0.364,0.018347
architecture,deepseek,Example-Guided_LLM_Scoring,Shower,environmental,within_scenario_sd,0.192345,0.010675
architecture,deepseek,Example-Guided_LLM_Scoring,Shower,mavt_aggregate,n_scenarios,60.0,0.0
architecture,deepseek,Example-Guided_LLM_Scoring,Shower,mavt_aggregate,within_scenario_aggregate_range,0.14435,0.01006
architecture,deepseek,Example-Guided_LLM_Scoring,Shower,mavt_aggregate,within_scenario_aggregate_sd,0.076933,0.005585
architecture,deepseek,Example-Guided_LLM_Scoring,Shower,practicality,within_scenario_range,0.370333,0.010501
architecture,deepseek,Example-Guided_LLM_Scoring,Shower,practicality,within_scenario_sd,0.196881,0.005538
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Appliance,comfort,within_scenario_range,0.465692,0.0
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Appliance,comfort,within_scenario_sd,0.239935,0.0
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Appliance,energy_cost,within_scenario_range,0.249938,0.001889
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Appliance,energy_cost,within_scenario_sd,0.144302,0.001091
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Appliance,environmental,within_scenario_range,0.028646,0.00424
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Appliance,environmental,within_scenario_sd,0.016539,0.002448
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Appliance,mavt_aggregate,n_scenarios,65.0,0.0
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Appliance,mavt_aggregate,within_scenario_aggregate_range,0.175962,0.00042
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Appliance,mavt_aggregate,within_scenario_aggregate_sd,0.091529,0.000202
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Appliance,practicality,within_scenario_range,0.609385,0.0
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Appliance,practicality,within_scenario_sd,0.313656,0.0
architecture,deepseek,LLM-Parameterized_Reference_Scoring,HVAC,comfort,within_scenario_range,0.417399,0.001211
architecture,deepseek,LLM-Parameterized_Reference_Scoring,HVAC,comfort,within_scenario_sd,0.216022,0.000634
architecture,deepseek,LLM-Parameterized_Reference_Scoring,HVAC,energy_cost,within_scenario_range,0.100251,0.005101
architecture,deepseek,LLM-Parameterized_Reference_Scoring,HVAC,energy_cost,within_scenario_sd,0.05136,0.002556
architecture,deepseek,LLM-Parameterized_Reference_Scoring,HVAC,environmental,within_scenario_range,0.097067,0.004318
architecture,deepseek,LLM-Parameterized_Reference_Scoring,HVAC,environmental,within_scenario_sd,0.049701,0.002177
architecture,deepseek,LLM-Parameterized_Reference_Scoring,HVAC,mavt_aggregate,n_scenarios,69.8,0.447214
architecture,deepseek,LLM-Parameterized_Reference_Scoring,HVAC,mavt_aggregate,within_scenario_aggregate_range,0.077041,0.002731
architecture,deepseek,LLM-Parameterized_Reference_Scoring,HVAC,mavt_aggregate,within_scenario_aggregate_sd,0.039871,0.001434
architecture,deepseek,LLM-Parameterized_Reference_Scoring,HVAC,practicality,within_scenario_range,0.09006,0.000635
architecture,deepseek,LLM-Parameterized_Reference_Scoring,HVAC,practicality,within_scenario_sd,0.049254,0.000345
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Overall,all,marginal_frac_in_central_band,0.389796,0.007263
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Overall,all,marginal_mean,0.66086,0.009092
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Overall,all,marginal_n_scores,2337.6,5.366563
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Overall,all,marginal_sd,0.268767,0.004657
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Overall,mavt_aggregate,n_scenarios,194.8,0.447214
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Overall,mavt_aggregate,within_scenario_aggregate_range,0.140466,0.001612
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Overall,mavt_aggregate,within_scenario_aggregate_sd,0.072798,0.000852
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Shower,comfort,within_scenario_range,0.329167,0.0
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Shower,comfort,within_scenario_sd,0.170967,0.0
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Shower,energy_cost,within_scenario_range,0.3503,0.016356
architecture,deepseek,LLM-Parameterized_Reference_Scoring,Shower,energy_cost,within_scenario_sd,0.176414,0.008381
