architecture,model,method_c_tau,method_c_mae,method_c_top1,method_a_tau,method_a_mae,method_a_top1,tau_diff,mae_diff
Direct_LLM_Scoring,deepseek,0.159,0.2081,0.4,0.144,0.23154000000000002,0.36682000000000003,0.015000000000000013,0.023440000000000016
Example-Guided_LLM_Scoring,deepseek,0.3504,0.1574,0.5641,0.32786,0.16668000000000002,0.5446,0.022540000000000004,0.00928000000000001
LLM-Parameterized_Reference_Scoring,deepseek,0.8969,0.0441,0.9124,0.89734,0.046759999999999996,0.90762,0.00043999999999999595,0.0026599999999999957
Direct_LLM_Scoring,gemini,0.1692,0.2163,0.359,0.17606,0.21958000000000003,0.36206000000000005,0.006860000000000005,0.003280000000000033
Example-Guided_LLM_Scoring,gemini,0.2957,0.1546,0.4667,0.30468,0.1588,0.47220000000000006,0.008979999999999988,0.004200000000000009
LLM-Parameterized_Reference_Scoring,gemini,0.9248,0.0477,0.9333,0.9234399999999999,0.04812,0.93126,0.0013600000000000279,0.0004200000000000037
Direct_LLM_Scoring,gptoss,0.053,0.2303,0.3385,0.04068000000000001,0.24152,0.33334,0.01231999999999999,0.011220000000000008
Example-Guided_LLM_Scoring,gptoss,0.3744,0.1545,0.5641,0.27042,0.16888,0.48,0.10398000000000002,0.014380000000000004
LLM-Parameterized_Reference_Scoring,gptoss,0.8865,0.0457,0.9149,0.89666,0.052480000000000006,0.91616,0.010160000000000058,0.006780000000000008
Direct_LLM_Scoring,qwen,-0.0017,0.2217,0.3179,0.009980000000000001,0.23496,0.30012,0.011680000000000001,0.013259999999999994
Example-Guided_LLM_Scoring,qwen,0.2444,0.1748,0.4615,0.20684,0.19132000000000002,0.46975999999999996,0.03756000000000001,0.016520000000000007
LLM-Parameterized_Reference_Scoring,qwen,0.8791,0.0682,0.9067,0.8801,0.07221999999999999,0.89724,0.0010000000000000009,0.004019999999999996
