category,architecture,model_or_pooled,decision_type,metric,value,sd
Table5_pooled_overall,Direct_LLM_Scoring,pooled,Overall,tau,0.099515,0.212908
Table5_pooled_overall,Direct_LLM_Scoring,pooled,Overall,Top-1,0.344154,0.121174
Table5_pooled_overall,Direct_LLM_Scoring,pooled,Overall,MAE,0.231435,0.036277
Table5_pooled_overall,Direct_LLM_Scoring,pooled,Overall,RMSE,0.296421,0.043598
Table5_pooled_overall,Direct_LLM_Scoring,pooled,Overall,RMSE/MAE,1.2836,0.036541
Table5_pooled_overall,Example-Guided_LLM_Scoring,pooled,Overall,tau,0.287004,0.22988
Table5_pooled_overall,Example-Guided_LLM_Scoring,pooled,Overall,Top-1,0.497858,0.155499
Table5_pooled_overall,Example-Guided_LLM_Scoring,pooled,Overall,MAE,0.170605,0.031742
Table5_pooled_overall,Example-Guided_LLM_Scoring,pooled,Overall,RMSE,0.238956,0.038181
Table5_pooled_overall,Example-Guided_LLM_Scoring,pooled,Overall,RMSE/MAE,1.408748,0.058267
Table5_pooled_overall,LLM-Parameterized_Reference_Scoring,pooled,Overall,tau,0.89814,0.061878
Table5_pooled_overall,LLM-Parameterized_Reference_Scoring,pooled,Overall,Top-1,0.912001,0.054317
Table5_pooled_overall,LLM-Parameterized_Reference_Scoring,pooled,Overall,MAE,0.054961,0.019507
Table5_pooled_overall,LLM-Parameterized_Reference_Scoring,pooled,Overall,RMSE,0.11069,0.0398
Table5_pooled_overall,LLM-Parameterized_Reference_Scoring,pooled,Overall,RMSE/MAE,2.016269,0.148832
Table6_per_criterion_mae,Direct_LLM_Scoring,pooled,Overall,EnergyCost,0.250475,0.007591
Table6_per_criterion_mae,Direct_LLM_Scoring,pooled,Overall,Environmental,0.269965,0.016426
Table6_per_criterion_mae,Direct_LLM_Scoring,pooled,Overall,Comfort,0.187045,0.012033
Table6_per_criterion_mae,Direct_LLM_Scoring,pooled,Overall,Practicality,0.220145,0.007819
Table6_per_criterion_mae,Direct_LLM_Scoring,pooled,Overall,Overall,0.2319,0.008361
Table6_per_criterion_mae,Example-Guided_LLM_Scoring,pooled,Overall,EnergyCost,0.18012,0.009392
Table6_per_criterion_mae,Example-Guided_LLM_Scoring,pooled,Overall,Environmental,0.172355,0.011897
Table6_per_criterion_mae,Example-Guided_LLM_Scoring,pooled,Overall,Comfort,0.164715,0.021504
Table6_per_criterion_mae,Example-Guided_LLM_Scoring,pooled,Overall,Practicality,0.16853,0.016678
Table6_per_criterion_mae,Example-Guided_LLM_Scoring,pooled,Overall,Overall,0.17142,0.012658
Table6_per_criterion_mae,LLM-Parameterized_Reference_Scoring,pooled,Overall,EnergyCost,0.08198,0.018224
Table6_per_criterion_mae,LLM-Parameterized_Reference_Scoring,pooled,Overall,Environmental,0.10522,0.027422
Table6_per_criterion_mae,LLM-Parameterized_Reference_Scoring,pooled,Overall,Comfort,0.01274,0.002987
Table6_per_criterion_mae,LLM-Parameterized_Reference_Scoring,pooled,Overall,Practicality,0.019655,0.002305
Table6_per_criterion_mae,LLM-Parameterized_Reference_Scoring,pooled,Overall,Overall,0.054895,0.010741
Table6_best_worst,Direct_LLM_Scoring,best,gemini,EnergyCost,0.24774,0.003198
Table6_best_worst,Direct_LLM_Scoring,best,gemini,Environmental,0.24838,0.002556
Table6_best_worst,Direct_LLM_Scoring,best,gemini,Comfort,0.1707,0.002629
Table6_best_worst,Direct_LLM_Scoring,best,gemini,Practicality,0.2116,0.001466
Table6_best_worst,Direct_LLM_Scoring,best,gemini,Overall,0.21958,0.001616
Table6_best_worst,Direct_LLM_Scoring,worst,gptoss,EnergyCost,0.25812,0.004495
Table6_best_worst,Direct_LLM_Scoring,worst,gptoss,Environmental,0.2924,0.002512
Table6_best_worst,Direct_LLM_Scoring,worst,gptoss,Comfort,0.18484,0.00276
Table6_best_worst,Direct_LLM_Scoring,worst,gptoss,Practicality,0.2307,0.003678
Table6_best_worst,Direct_LLM_Scoring,worst,gptoss,Overall,0.24152,0.001781
Table6_best_worst,Example-Guided_LLM_Scoring,best,gemini,EnergyCost,0.17822,0.001487
Table6_best_worst,Example-Guided_LLM_Scoring,best,gemini,Environmental,0.16668,0.000973
Table6_best_worst,Example-Guided_LLM_Scoring,best,gemini,Comfort,0.138,0.001589
Table6_best_worst,Example-Guided_LLM_Scoring,best,gemini,Practicality,0.15232,0.002063
Table6_best_worst,Example-Guided_LLM_Scoring,best,gemini,Overall,0.1588,0.001005
Table6_best_worst,Example-Guided_LLM_Scoring,worst,qwen,EnergyCost,0.19502,0.003164
Table6_best_worst,Example-Guided_LLM_Scoring,worst,qwen,Environmental,0.19186,0.003307
Table6_best_worst,Example-Guided_LLM_Scoring,worst,qwen,Comfort,0.19272,0.006021
Table6_best_worst,Example-Guided_LLM_Scoring,worst,qwen,Practicality,0.18576,0.005001
Table6_best_worst,Example-Guided_LLM_Scoring,worst,qwen,Overall,0.19132,0.004258
Table6_best_worst,LLM-Parameterized_Reference_Scoring,best,deepseek,EnergyCost,0.06834,0.006028
Table6_best_worst,LLM-Parameterized_Reference_Scoring,best,deepseek,Environmental,0.08116,0.006849
Table6_best_worst,LLM-Parameterized_Reference_Scoring,best,deepseek,Comfort,0.01672,0.003518
Table6_best_worst,LLM-Parameterized_Reference_Scoring,best,deepseek,Practicality,0.02082,0.002505
Table6_best_worst,LLM-Parameterized_Reference_Scoring,best,deepseek,Overall,0.04676,0.004471
Table6_best_worst,LLM-Parameterized_Reference_Scoring,worst,qwen,EnergyCost,0.1115,0.003377
Table6_best_worst,LLM-Parameterized_Reference_Scoring,worst,qwen,Environmental,0.14984,0.004127
Table6_best_worst,LLM-Parameterized_Reference_Scoring,worst,qwen,Comfort,0.01076,0.000134
Table6_best_worst,LLM-Parameterized_Reference_Scoring,worst,qwen,Practicality,0.0168,0.000346
Table6_best_worst,LLM-Parameterized_Reference_Scoring,worst,qwen,Overall,0.07222,0.001791
Table7_per_decision_type_pooled,Direct_LLM_Scoring,pooled,HVAC,tau,-0.000485,0.100395
Table7_per_decision_type_pooled,Direct_LLM_Scoring,pooled,HVAC,Top-1,0.293965,0.086139
Table7_per_decision_type_pooled,Direct_LLM_Scoring,pooled,Appliance,tau,-0.042435,0.080982
Table7_per_decision_type_pooled,Direct_LLM_Scoring,pooled,Appliance,Top-1,0.266375,0.047621
Table7_per_decision_type_pooled,Direct_LLM_Scoring,pooled,Shower,tau,0.3483,0.26217
Table7_per_decision_type_pooled,Direct_LLM_Scoring,pooled,Shower,Top-1,0.47569,0.151055
Table7_per_decision_type_pooled,Direct_LLM_Scoring,pooled,Overall,tau,0.09268,0.07854
Table7_per_decision_type_pooled,Direct_LLM_Scoring,pooled,Overall,Top-1,0.340585,0.036061
Table7_per_decision_type_pooled,Example-Guided_LLM_Scoring,pooled,HVAC,tau,0.087605,0.149073
Table7_per_decision_type_pooled,Example-Guided_LLM_Scoring,pooled,HVAC,Top-1,0.340345,0.127936
Table7_per_decision_type_pooled,Example-Guided_LLM_Scoring,pooled,Appliance,tau,0.236025,0.189815
Table7_per_decision_type_pooled,Example-Guided_LLM_Scoring,pooled,Appliance,Top-1,0.522305,0.150878
Table7_per_decision_type_pooled,Example-Guided_LLM_Scoring,pooled,Shower,tau,0.546935,0.206579
Table7_per_decision_type_pooled,Example-Guided_LLM_Scoring,pooled,Shower,Top-1,0.63714,0.112584
Table7_per_decision_type_pooled,Example-Guided_LLM_Scoring,pooled,Overall,tau,0.27745,0.054701
Table7_per_decision_type_pooled,Example-Guided_LLM_Scoring,pooled,Overall,Top-1,0.49164,0.039048
Table7_per_decision_type_pooled,LLM-Parameterized_Reference_Scoring,pooled,HVAC,tau,0.93026,0.037879
Table7_per_decision_type_pooled,LLM-Parameterized_Reference_Scoring,pooled,HVAC,Top-1,0.924745,0.03929
Table7_per_decision_type_pooled,LLM-Parameterized_Reference_Scoring,pooled,Appliance,tau,0.9518,0.029229
Table7_per_decision_type_pooled,LLM-Parameterized_Reference_Scoring,pooled,Appliance,Top-1,0.967685,0.024891
Table7_per_decision_type_pooled,LLM-Parameterized_Reference_Scoring,pooled,Shower,tau,0.811115,0.03513
Table7_per_decision_type_pooled,LLM-Parameterized_Reference_Scoring,pooled,Shower,Top-1,0.842505,0.036863
Table7_per_decision_type_pooled,LLM-Parameterized_Reference_Scoring,pooled,Overall,tau,0.899385,0.017509
Table7_per_decision_type_pooled,LLM-Parameterized_Reference_Scoring,pooled,Overall,Top-1,0.91307,0.015006
Table7_best_worst,Direct_LLM_Scoring,best,gptoss,HVAC_tau,0.13524,0.051023
Table7_best_worst,Direct_LLM_Scoring,best,gptoss,HVAC_Top-1,0.39714,0.049883
Table7_best_worst,Direct_LLM_Scoring,worst,deepseek,HVAC_tau,-0.1021,0.071264
Table7_best_worst,Direct_LLM_Scoring,worst,deepseek,HVAC_Top-1,0.19788,0.050713
Table7_best_worst,Direct_LLM_Scoring,best,deepseek,Appliance_tau,0.02934,0.060515
Table7_best_worst,Direct_LLM_Scoring,best,deepseek,Appliance_Top-1,0.31706,0.039088
Table7_best_worst,Direct_LLM_Scoring,worst,gptoss,Appliance_tau,-0.14666,0.073741
Table7_best_worst,Direct_LLM_Scoring,worst,gptoss,Appliance_Top-1,0.2677,0.053961
Table7_best_worst,Direct_LLM_Scoring,best,gemini,Shower_tau,0.63334,0.035149
Table7_best_worst,Direct_LLM_Scoring,best,gemini,Shower_Top-1,0.61,0.01901
Table7_best_worst,Direct_LLM_Scoring,worst,qwen,Shower_tau,0.06888,0.091781
Table7_best_worst,Direct_LLM_Scoring,worst,qwen,Shower_Top-1,0.34334,0.0787
Table7_best_worst,Example-Guided_LLM_Scoring,best,gptoss,HVAC_tau,0.26474,0.051448
Table7_best_worst,Example-Guided_LLM_Scoring,best,gptoss,HVAC_Top-1,0.46856,0.036978
Table7_best_worst,Example-Guided_LLM_Scoring,worst,gemini,HVAC_tau,-0.11622,0.026191
Table7_best_worst,Example-Guided_LLM_Scoring,worst,gemini,HVAC_Top-1,0.15284,0.044564
Table7_best_worst,Example-Guided_LLM_Scoring,best,deepseek,Appliance_tau,0.41744,0.063791
Table7_best_worst,Example-Guided_LLM_Scoring,best,deepseek,Appliance_Top-1,0.70152,0.064893
Table7_best_worst,Example-Guided_LLM_Scoring,worst,gptoss,Appliance_tau,-0.0482,0.075191
Table7_best_worst,Example-Guided_LLM_Scoring,worst,gptoss,Appliance_Top-1,0.30462,0.027548
Table7_best_worst,Example-Guided_LLM_Scoring,best,gemini,Shower_tau,0.76552,0.015536
Table7_best_worst,Example-Guided_LLM_Scoring,best,gemini,Shower_Top-1,0.75522,0.031861
Table7_best_worst,Example-Guided_LLM_Scoring,worst,qwen,Shower_tau,0.23554,0.110384
Table7_best_worst,Example-Guided_LLM_Scoring,worst,qwen,Shower_Top-1,0.48334,0.069712
Table7_best_worst,LLM-Parameterized_Reference_Scoring,best,gemini,HVAC_tau,0.97716,0.005258
Table7_best_worst,LLM-Parameterized_Reference_Scoring,best,gemini,HVAC_Top-1,0.96568,0.007832
Table7_best_worst,LLM-Parameterized_Reference_Scoring,worst,qwen,HVAC_tau,0.8813,0.016787
Table7_best_worst,LLM-Parameterized_Reference_Scoring,worst,qwen,HVAC_Top-1,0.87366,0.025102
Table7_best_worst,LLM-Parameterized_Reference_Scoring,best,deepseek,Appliance_tau,0.9754,0.009168
Table7_best_worst,LLM-Parameterized_Reference_Scoring,best,deepseek,Appliance_Top-1,0.9846,0.0
Table7_best_worst,LLM-Parameterized_Reference_Scoring,worst,qwen,Appliance_tau,0.90562,0.013349
Table7_best_worst,LLM-Parameterized_Reference_Scoring,worst,qwen,Appliance_Top-1,0.92926,0.013774
Table7_best_worst,LLM-Parameterized_Reference_Scoring,best,qwen,Shower_tau,0.85112,0.038175
Table7_best_worst,LLM-Parameterized_Reference_Scoring,best,qwen,Shower_Top-1,0.89,0.025287
Table7_best_worst,LLM-Parameterized_Reference_Scoring,worst,gptoss,Shower_tau,0.78446,0.018574
Table7_best_worst,LLM-Parameterized_Reference_Scoring,worst,gptoss,Shower_Top-1,0.82002,0.018253
Table8_cost_per_run,Direct_LLM_Scoring,GPT-OSS,Overall,cost_usd,0.023389,
Table8_cost_per_run,Direct_LLM_Scoring,GPT-OSS,Overall,tokens_in_per_run,411171.0,
Table8_cost_per_run,Direct_LLM_Scoring,GPT-OSS,Overall,tokens_out_per_run,81893.8,
Table8_cost_per_run,Direct_LLM_Scoring,GPT-OSS,Overall,tokens_per_scenario,2528.537436,
Table8_cost_per_run,Direct_LLM_Scoring,GPT-OSS,Overall,calls_per_scenario,3.0,
Table8_cost_per_run,Example-Guided_LLM_Scoring,GPT-OSS,Overall,cost_usd,0.023457,
Table8_cost_per_run,Example-Guided_LLM_Scoring,GPT-OSS,Overall,tokens_in_per_run,397207.8,
Table8_cost_per_run,Example-Guided_LLM_Scoring,GPT-OSS,Overall,tokens_out_per_run,85274.6,
Table8_cost_per_run,Example-Guided_LLM_Scoring,GPT-OSS,Overall,tokens_per_scenario,2474.268718,
Table8_cost_per_run,Example-Guided_LLM_Scoring,GPT-OSS,Overall,calls_per_scenario,3.0,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,GPT-OSS,Overall,cost_usd,0.006233,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,GPT-OSS,Overall,tokens_in_per_run,98635.0,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,GPT-OSS,Overall,tokens_out_per_run,24093.4,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,GPT-OSS,Overall,tokens_per_scenario,629.37641,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,GPT-OSS,Overall,calls_per_scenario,1.0,
Table8_cost_per_run,Direct_LLM_Scoring,Qwen,Overall,cost_usd,0.043468,
Table8_cost_per_run,Direct_LLM_Scoring,Qwen,Overall,tokens_in_per_run,401484.2,
Table8_cost_per_run,Direct_LLM_Scoring,Qwen,Overall,tokens_out_per_run,22130.4,
Table8_cost_per_run,Direct_LLM_Scoring,Qwen,Overall,tokens_per_scenario,2172.382564,
Table8_cost_per_run,Direct_LLM_Scoring,Qwen,Overall,calls_per_scenario,3.0,
Table8_cost_per_run,Example-Guided_LLM_Scoring,Qwen,Overall,cost_usd,0.041869,
Table8_cost_per_run,Example-Guided_LLM_Scoring,Qwen,Overall,tokens_in_per_run,385380.0,
Table8_cost_per_run,Example-Guided_LLM_Scoring,Qwen,Overall,tokens_out_per_run,22208.0,
Table8_cost_per_run,Example-Guided_LLM_Scoring,Qwen,Overall,tokens_per_scenario,2090.194872,
Table8_cost_per_run,Example-Guided_LLM_Scoring,Qwen,Overall,calls_per_scenario,3.0,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,Qwen,Overall,cost_usd,0.011945,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,Qwen,Overall,tokens_in_per_run,98185.0,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,Qwen,Overall,tokens_out_per_run,14175.2,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,Qwen,Overall,tokens_per_scenario,576.206154,
Table8_cost_per_run,LLM-Parameterized_Reference_Scoring,Qwen,Overall,calls_per_scenario,1.0,
Table8_cost_per_run,Direct_LLM_Scoring,DeepSeek,Overall,cost_usd,0.086676,
Table8_cost_per_run,Direct_LLM_Scoring,DeepSeek,Overall,tokens_in_per_run,372390.6,
Table8_cost_per_run,Direct_LLM_Scoring,DeepSeek,Overall,tokens_out_per_run,295335.8,
Table8_cost_per_run,Direct_LLM_Scoring,DeepSeek,Overall,tokens_per_scenario,3424.237949,
Table8_cost_per_run,Direct_LLM_Scoring,DeepSeek,Overall,calls_per_scenario,2.987692,
