number_id,value,where_in_paper,quoted_context,source_file,source_sheet_or_column,computing_script,model,decision_type,basis_notes,status
D3_ptop1_kwh_per_cycle_deepseek,0.017,paper/paper_draft_v2.tex:934,tab:extraction_accuracy P(Top-1 change | error) kwh_per_cycle,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (5/294 run-summed),Analysis/pass5/d3_gpm_mechanism.py,deepseek,Appliance,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",matches published
D3_mae_kwh_per_cycle_deepseek,0.363,paper/paper_draft_v2.tex:934,tab:extraction_accuracy MAE kwh_per_cycle,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,deepseek,Appliance,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_hvac_age_deepseek,0.0,paper/paper_draft_v2.tex:933,tab:extraction_accuracy P(Top-1 change | error) hvac_age,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (0/323 run-summed),Analysis/pass5/d3_gpm_mechanism.py,deepseek,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",matches published
D3_mae_hvac_age_deepseek,8.351,paper/paper_draft_v2.tex:933,tab:extraction_accuracy MAE hvac_age,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,deepseek,HVAC,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_occupancy_context_deepseek,0.081,"paper/paper_draft_v2.tex:945 (occupancy discussed, no P reported)",tab:extraction_accuracy P(Top-1 change | error) occupancy_context,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (5/62 run-summed),Analysis/pass5/d3_gpm_mechanism.py,deepseek,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",new (not in paper)
D3_occupancy_match_deepseek,82.2,"paper/paper_draft_v2.tex:945,1083","HVAC occupancy context has the lowest match accuracy, at 75.4% GPT-OSS, 78.6% Qwen, 80.0% Gemini, 81.4% DeepSeek",Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv 1-error_rate_mean,Analysis/pass5/d3_gpm_mechanism.py,deepseek,HVAC,"per-run match accuracy (%), mean of 5 runs",per-run basis; published used 5-run modal occupancy
D3_ptop1_r_value_deepseek,0.036,paper/paper_draft_v2.tex:931,tab:extraction_accuracy P(Top-1 change | error) r_value,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (12/329 run-summed),Analysis/pass5/d3_gpm_mechanism.py,deepseek,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.015 (published used 5-run aggregate parameters)
D3_mae_r_value_deepseek,3.216,paper/paper_draft_v2.tex:931,tab:extraction_accuracy MAE r_value,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,deepseek,HVAC,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
D3_ptop1_seer_deepseek,0.048,paper/paper_draft_v2.tex:932,tab:extraction_accuracy P(Top-1 change | error) seer,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv p_change_mean (13/270 run-summed),Analysis/pass5/d3_gpm_mechanism.py,deepseek,HVAC,"per run: re-score with only this parameter at its extracted value, all else true; share of erroneous scenarios whose Top-1 changes; mean over 5 runs; failed scenario-runs excluded",differs from published 0.032 (published used 5-run aggregate parameters)
D3_mae_seer_deepseek,1.651,paper/paper_draft_v2.tex:932,tab:extraction_accuracy MAE seer,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,d3_p_top1_change_summary.csv mae_per_run_mean,Analysis/pass5/d3_gpm_mechanism.py,deepseek,HVAC,"mean |extracted - true| per run over scored scenarios, mean of 5 runs",per-run basis; published cell used 5-run aggregate parameters
