comparison,metric,metric_label,model,n_scenarios,n_nonzero_pairs,n_tied_pairs,Z,median_paired_diff,p_value,p_holm_subset,p_holm_family,significant_holm_subset,significant_holm_family
AD vs AE,kendall_tau,tau,deepseek,195,184,11,-2.915533166450228,-0.13333333333333333,0.0035508136401383138,0.0062456461195430635,0.01873693835862919,True,True
AD vs AE,kendall_tau,tau,gemini,195,137,58,-2.9553818253190016,0.0,0.0031228230597715317,0.0062456461195430635,0.01873693835862919,True,True
AD vs AE,kendall_tau,tau,gptoss,195,181,14,-5.495198877272262,-0.2666666666666666,3.9027034477915954e-08,3.1221627582332763e-07,7.415136550804031e-07,True,True
AD vs AE,kendall_tau,tau,qwen,195,188,7,-4.114893389248296,-0.26666666666666666,3.873584065756949e-05,0.00015494336263027796,0.0004648300878908339,True,True
AD vs AE,overall_mae,MAE,deepseek,195,195,0,9.114266230370474,0.07516666666666663,7.920461906095168e-20,1.0296600477923719e-18,2.692957048072357e-18,True,True
AD vs AE,overall_mae,MAE,gemini,195,195,0,9.60850769850666,0.05316666666666664,7.360802195789745e-22,1.0305123074105644e-20,2.797104834400103e-20,True,True
AD vs AE,overall_mae,MAE,gptoss,195,195,0,9.65476434301583,0.07400000000000001,4.692368839656049e-22,7.038553259484074e-21,1.830023847465859e-20,True,True
AD vs AE,overall_mae,MAE,qwen,195,195,0,6.6658843675957575,0.04266666666666663,2.6307633329310823e-11,2.367686999637974e-10,6.050755665741489e-10,True,True
AD vs AE,top1_accuracy,Top-1,deepseek,195,159,36,-4.549669647265654,-0.19999999999999996,5.373020124262281e-06,3.223812074557369e-05,8.59683219881965e-05,True,True
AD vs AE,top1_accuracy,Top-1,gemini,195,93,102,-3.2387422308053138,0.0,0.001200580246783903,0.0036017407403517087,0.009604641974271223,True,True
AD vs AE,top1_accuracy,Top-1,gptoss,195,149,46,-4.21252762218131,-0.19999999999999996,2.525288218094403e-05,0.00012626441090472014,0.0003535403505332164,True,True
AD vs AE,top1_accuracy,Top-1,qwen,195,171,24,-5.1602123289903705,-0.2,2.4666992121222834e-07,1.7266894484855985e-06,4.193388660607882e-06,True,True
AE vs AH,kendall_tau,tau,deepseek,195,171,24,-10.249058666480689,-0.5333333333333334,1.1950164434179312e-24,2.2705312424940693e-23,5.377573995380691e-23,True,True
AE vs AH,kendall_tau,tau,gemini,195,130,65,-8.966104605078288,-0.5333333333333333,3.0718623404493426e-19,3.6862348085392116e-18,9.522773255392962e-18,True,True
AE vs AH,kendall_tau,tau,gptoss,194,173,21,-10.791670964666352,-0.5333333333333333,3.7687401155609865e-27,7.537480231121973e-26,1.8089952554692736e-25,True,True
AE vs AH,kendall_tau,tau,qwen,195,189,6,-11.039882950362724,-0.6666666666666667,2.4535256600837713e-28,5.1524038861759195e-27,1.2512980866427234e-26,True,True
AE vs AH,overall_mae,MAE,deepseek,195,195,0,11.809133741338606,0.10316666666666667,3.501501813504858e-32,8.053454171061174e-31,1.925825997427672e-30,True,True
AE vs AH,overall_mae,MAE,gemini,195,195,0,11.331369785714347,0.09333333333333332,9.175838783772228e-30,2.0186845324298902e-28,4.771436167561558e-28,True,True
AE vs AH,overall_mae,MAE,gptoss,194,194,0,11.849878919508924,0.09631250000000004,2.1550195747956649e-32,5.172046979509596e-31,1.2068109618855724e-30,True,True
AE vs AH,overall_mae,MAE,qwen,195,195,0,10.067897266271478,0.12,7.659816259120677e-24,1.3787669266417218e-22,3.293720991421891e-22,True,True
AE vs AH,top1_accuracy,Top-1,deepseek,195,146,49,-8.723848732647502,-0.4,2.6890226676355022e-18,2.957924934399052e-17,7.798165736142957e-17,True,True
AE vs AH,top1_accuracy,Top-1,gemini,195,111,84,-8.472030283349106,-0.4,2.4115241882651456e-17,2.4115241882651457e-16,6.752267727142407e-16,True,True
AE vs AH,top1_accuracy,Top-1,gptoss,194,152,42,-9.985805752293436,-0.4,1.758663630296739e-23,2.989728171504456e-22,7.21052088421663e-22,True,True
AE vs AH,top1_accuracy,Top-1,qwen,195,175,20,-9.702495988854514,-0.4,2.942115864500842e-22,4.707385383201347e-21,1.1768463458003369e-20,True,True
