architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
Direct_LLM_Scoring,1,Overall,0.209,0.2228,0.4197,0.7513,0.232,0.3017,1.3004,0.2398,0.2644,0.1979,0.2259,0.3141,0.3454,0.2541,0.2857,193,2,195,deepseek
Direct_LLM_Scoring,1,HVAC,-0.0667,-0.0571,0.2286,0.6429,0.2139,0.281,1.3137,0.248,0.2451,0.1842,0.1781,0.3209,0.3155,0.2409,0.2353,70,0,0,deepseek
Direct_LLM_Scoring,1,Appliance,0.1111,0.1111,0.381,0.6984,0.2748,0.352,1.2809,0.295,0.3811,0.2075,0.2156,0.3756,0.4587,0.2614,0.2752,63,0,0,deepseek
Direct_LLM_Scoring,1,Shower,0.6333,0.6667,0.6833,0.9333,0.2082,0.2657,1.2762,0.1723,0.1643,0.2038,0.2924,0.2214,0.2164,0.2611,0.3442,60,0,0,deepseek
Direct_LLM_Scoring,2,Overall,0.0997,0.1082,0.3608,0.7268,0.2293,0.3008,1.3118,0.2379,0.2625,0.1937,0.223,0.3138,0.3502,0.2493,0.2806,194,1,195,deepseek
Direct_LLM_Scoring,2,HVAC,-0.2,-0.1929,0.1429,0.6286,0.2116,0.2782,1.3147,0.239,0.2351,0.1972,0.175,0.3156,0.3102,0.2466,0.2301,70,0,0,deepseek
Direct_LLM_Scoring,2,Appliance,-0.0154,-0.0308,0.2923,0.6462,0.2716,0.3534,1.3012,0.2994,0.3909,0.1695,0.2266,0.3803,0.4718,0.226,0.2852,65,0,0,deepseek
Direct_LLM_Scoring,2,Shower,0.5819,0.6186,0.6949,0.9322,0.2035,0.2611,1.283,0.1686,0.1536,0.216,0.2758,0.2152,0.2097,0.2755,0.3263,59,0,0,deepseek
Direct_LLM_Scoring,3,Overall,0.1285,0.1302,0.3594,0.7083,0.2355,0.307,1.3036,0.2408,0.2635,0.2144,0.2235,0.318,0.3509,0.2754,0.2775,192,3,195,deepseek
Direct_LLM_Scoring,3,HVAC,-0.0628,-0.0507,0.2464,0.6522,0.2134,0.2772,1.299,0.2432,0.2411,0.2107,0.1585,0.3173,0.3132,0.2598,0.2025,69,0,0,deepseek
