architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
Direct_LLM_Scoring,1,Overall,0.1897,0.2,0.3846,0.7026,0.2171,0.2929,1.3491,0.2433,0.246,0.1682,0.2108,0.3298,0.3348,0.2298,0.2635,195,0,195,gemini
Direct_LLM_Scoring,1,HVAC,-0.019,0.0,0.2714,0.6143,0.2388,0.305,1.2772,0.2868,0.2753,0.2047,0.1884,0.3657,0.3502,0.2479,0.2327,70,0,0,gemini
Direct_LLM_Scoring,1,Appliance,-0.0154,-0.0615,0.2769,0.5692,0.2677,0.3544,1.3239,0.3272,0.3654,0.1584,0.2197,0.4071,0.4388,0.2444,0.2908,65,0,0,gemini
Direct_LLM_Scoring,1,Shower,0.6556,0.7167,0.6333,0.95,0.1369,0.1848,1.3499,0.1018,0.0823,0.1363,0.2273,0.1335,0.1122,0.1876,0.2664,60,0,0,gemini
Direct_LLM_Scoring,2,Overall,0.1624,0.1513,0.359,0.6718,0.2193,0.2966,1.3525,0.2486,0.2484,0.1702,0.2101,0.336,0.3378,0.2335,0.265,195,0,195,gemini
Direct_LLM_Scoring,2,HVAC,-0.0476,-0.0714,0.2571,0.5714,0.2417,0.3081,1.2747,0.2911,0.2783,0.2019,0.1954,0.3701,0.3533,0.2471,0.2387,70,0,0,gemini
Direct_LLM_Scoring,2,Appliance,-0.0256,-0.0769,0.2462,0.5692,0.2711,0.361,1.3316,0.3355,0.3681,0.1663,0.2148,0.4167,0.4425,0.2545,0.2948,65,0,0,gemini
Direct_LLM_Scoring,2,Shower,0.6111,0.6583,0.6,0.9,0.1371,0.1841,1.3428,0.1047,0.0839,0.1376,0.2223,0.1377,0.1144,0.1893,0.2601,60,0,0,gemini
Direct_LLM_Scoring,3,Overall,0.159,0.1615,0.3436,0.7077,0.2203,0.2968,1.3473,0.2476,0.2492,0.171,0.2137,0.3339,0.3383,0.234,0.2676,195,0,195,gemini
Direct_LLM_Scoring,3,HVAC,-0.019,-0.0214,0.2429,0.6571,0.2421,0.3085,1.2743,0.2908,0.2778,0.1996,0.2002,0.3692,0.3534,0.2451,0.2439,70,0,0,gemini
Direct_LLM_Scoring,3,Appliance,-0.0462,-0.0923,0.2308,0.5692,0.2727,0.3592,1.3172,0.333,0.3709,0.1693,0.2177,0.4123,0.4433,0.2558,0.2901,65,0,0,gemini
Direct_LLM_Scoring,3,Shower,0.5889,0.65,0.5833,0.9167,0.1382,0.1882,1.3618,0.1047,0.0839,0.1393,0.2249,0.1384,0.1153,0.1924,0.2686,60,0,0,gemini
Direct_LLM_Scoring,4,Overall,0.1829,0.1667,0.3641,0.6923,0.2215,0.2976,1.3436,0.2522,0.2522,0.1691,0.2125,0.3377,0.3397,0.2308,0.2677,195,0,195,gemini
Direct_LLM_Scoring,4,HVAC,-0.0667,-0.0929,0.2429,0.5857,0.2446,0.3106,1.2698,0.2971,0.2857,0.1966,0.1991,0.3742,0.3588,0.2426,0.2413,70,0,0,gemini
Direct_LLM_Scoring,4,Appliance,-0.0051,-0.0769,0.2615,0.5692,0.2734,0.3603,1.3178,0.3373,0.3694,0.1654,0.2213,0.4155,0.4413,0.2487,0.3001,65,0,0,gemini
Direct_LLM_Scoring,4,Shower,0.6778,0.7333,0.6167,0.95,0.1383,0.1863,1.3471,0.1076,0.0862,0.1411,0.2185,0.1418,0.1178,0.1934,0.2596,60,0,0,gemini
Direct_LLM_Scoring,5,Overall,0.1863,0.1872,0.359,0.7128,0.2197,0.296,1.3473,0.247,0.2461,0.175,0.2109,0.3325,0.335,0.2386,0.2662,195,0,195,gemini
Direct_LLM_Scoring,5,HVAC,-0.0095,0.0,0.2571,0.6429,0.2387,0.3043,1.2748,0.2862,0.2729,0.2011,0.1946,0.3633,0.3464,0.2451,0.2418,70,0,0,gemini
Direct_LLM_Scoring,5,Appliance,-0.0154,-0.0692,0.2308,0.6,0.2754,0.3632,1.3188,0.3345,0.3682,0.1781,0.2208,0.4144,0.4423,0.2691,0.2965,65,0,0,gemini
Direct_LLM_Scoring,5,Shower,0.6333,0.6833,0.6167,0.9167,0.1374,0.184,1.3392,0.1064,0.0824,0.1413,0.2193,0.1387,0.113,0.191,0.2587,60,0,0,gemini
Example-Guided_LLM_Scoring,1,Overall,0.2815,0.2979,0.456,0.8031,0.1588,0.2339,1.4729,0.1778,0.1658,0.1395,0.1522,0.2558,0.2508,0.2087,0.2168,193,2,195,gemini
Example-Guided_LLM_Scoring,1,HVAC,-0.1304,-0.1014,0.1304,0.7101,0.2027,0.2757,1.3601,0.2554,0.2529,0.146,0.1563,0.3406,0.3365,0.1862,0.2006,69,0,0,gemini
Example-Guided_LLM_Scoring,1,Appliance,0.2923,0.2769,0.5385,0.7385,0.1611,0.2435,1.5115,0.1701,0.1545,0.1611,0.1587,0.2337,0.2352,0.251,0.2536,65,0,0,gemini
Example-Guided_LLM_Scoring,1,Shower,0.7514,0.7881,0.7458,0.9831,0.1051,0.1573,1.4967,0.0955,0.0763,0.1081,0.1405,0.135,0.1112,0.1803,0.1894,59,0,0,gemini
Example-Guided_LLM_Scoring,2,Overall,0.3333,0.3523,0.5078,0.7927,0.1573,0.2313,1.4704,0.1765,0.1663,0.1369,0.1497,0.2522,0.2506,0.2053,0.2134,193,2,195,gemini
Example-Guided_LLM_Scoring,2,HVAC,-0.0725,-0.0435,0.2319,0.6377,0.2026,0.275,1.3574,0.2547,0.2535,0.1473,0.155,0.3388,0.3366,0.1882,0.1977,69,0,0,gemini
Example-Guided_LLM_Scoring,2,Appliance,0.3542,0.3516,0.5625,0.7812,0.1586,0.2398,1.512,0.1667,0.1571,0.1537,0.157,0.2251,0.237,0.243,0.2532,64,0,0,gemini
