architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
Direct_LLM_Scoring,1,Overall,0.0017,-0.0103,0.3231,0.6359,0.2398,0.3064,1.2777,0.2524,0.2904,0.1863,0.2301,0.3224,0.3679,0.2318,0.2872,195,0,195,gptoss
Direct_LLM_Scoring,1,HVAC,0.0952,0.0857,0.4286,0.7286,0.2033,0.2591,1.2745,0.2436,0.2669,0.1644,0.1381,0.2953,0.3187,0.2177,0.18,70,0,0,gptoss
Direct_LLM_Scoring,1,Appliance,-0.2,-0.2231,0.2308,0.4923,0.2904,0.3591,1.2366,0.2853,0.3773,0.2372,0.2616,0.3565,0.4589,0.2807,0.3153,65,0,0,gptoss
Direct_LLM_Scoring,1,Shower,0.1111,0.1083,0.3,0.6833,0.2276,0.295,1.2961,0.227,0.2237,0.1566,0.3031,0.3137,0.3053,0.1841,0.3502,60,0,0,gptoss
Direct_LLM_Scoring,2,Overall,0.0291,0.0282,0.3077,0.6615,0.2424,0.306,1.2624,0.258,0.2909,0.1871,0.2335,0.3229,0.3666,0.2309,0.2873,195,0,195,gptoss
Direct_LLM_Scoring,2,HVAC,0.0667,0.0714,0.3286,0.7286,0.208,0.2584,1.2423,0.2385,0.2651,0.1805,0.1479,0.2841,0.3128,0.2295,0.1891,70,0,0,gptoss
Direct_LLM_Scoring,2,Appliance,-0.1282,-0.1385,0.2923,0.5846,0.2928,0.3601,1.2298,0.3072,0.3819,0.2246,0.2573,0.3714,0.462,0.2715,0.3059,65,0,0,gptoss
Direct_LLM_Scoring,2,Shower,0.1556,0.1583,0.3,0.6667,0.2279,0.2932,1.2865,0.2276,0.2222,0.1541,0.3076,0.3087,0.3021,0.1791,0.3539,60,0,0,gptoss
Direct_LLM_Scoring,3,Overall,0.1077,0.1077,0.359,0.7026,0.2394,0.3045,1.2719,0.2555,0.2923,0.1801,0.2297,0.3212,0.3678,0.2278,0.2838,195,0,195,gptoss
Direct_LLM_Scoring,3,HVAC,0.1714,0.1929,0.3714,0.7857,0.2054,0.2579,1.2556,0.236,0.2661,0.1726,0.1469,0.2858,0.3147,0.2232,0.1885,70,0,0,gptoss
Direct_LLM_Scoring,3,Appliance,-0.0564,-0.0846,0.3385,0.5846,0.2857,0.3526,1.2342,0.2958,0.3801,0.217,0.2497,0.3556,0.4567,0.2692,0.2998,65,0,0,gptoss
Direct_LLM_Scoring,3,Shower,0.2111,0.2167,0.3667,0.7333,0.229,0.2984,1.3031,0.2346,0.2278,0.1488,0.3047,0.321,0.3134,0.1789,0.3506,60,0,0,gptoss
Direct_LLM_Scoring,4,Overall,0.0632,0.0641,0.359,0.6769,0.2432,0.3081,1.2669,0.2607,0.2917,0.1857,0.2348,0.3271,0.3669,0.2325,0.2899,195,0,195,gptoss
Direct_LLM_Scoring,4,HVAC,0.181,0.1929,0.4571,0.7571,0.2106,0.2621,1.2445,0.2512,0.2657,0.1807,0.1447,0.2966,0.3114,0.234,0.1872,70,0,0,gptoss
Direct_LLM_Scoring,4,Appliance,-0.1077,-0.1154,0.2769,0.6,0.2869,0.3542,1.2346,0.2922,0.3702,0.2273,0.2582,0.357,0.4536,0.2743,0.3054,65,0,0,gptoss
Direct_LLM_Scoring,4,Shower,0.1111,0.1083,0.3333,0.6667,0.2339,0.3041,1.3001,0.2377,0.2369,0.1465,0.3147,0.3271,0.3185,0.1741,0.3622,60,0,0,gptoss
