architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
Direct_LLM_Scoring,1,Overall,0.012,0.0205,0.2615,0.6923,0.2373,0.2983,1.2571,0.2577,0.2749,0.1984,0.2183,0.3158,0.3421,0.2514,0.2755,195,0,195,qwen
Direct_LLM_Scoring,1,HVAC,-0.0,-0.0143,0.3143,0.6714,0.219,0.2736,1.2493,0.2521,0.2506,0.2186,0.1549,0.3063,0.3044,0.2732,0.1958,70,0,0,qwen
Direct_LLM_Scoring,1,Appliance,0.0051,0.0231,0.2154,0.7385,0.286,0.3501,1.2241,0.3118,0.3723,0.2029,0.257,0.3701,0.4391,0.2548,0.3094,65,0,0,qwen
Direct_LLM_Scoring,1,Shower,0.0333,0.0583,0.25,0.6667,0.2059,0.2626,1.2754,0.2056,0.1978,0.1699,0.2504,0.2572,0.2517,0.2191,0.3134,60,0,0,qwen
Direct_LLM_Scoring,2,Overall,0.0256,0.0179,0.3282,0.6923,0.2354,0.295,1.2532,0.2576,0.2738,0.1922,0.218,0.3151,0.3378,0.2456,0.2726,195,0,195,qwen
Direct_LLM_Scoring,2,HVAC,0.0476,0.05,0.4,0.6857,0.2145,0.267,1.2448,0.2439,0.2426,0.2107,0.1608,0.2954,0.2944,0.2632,0.2051,70,0,0,qwen
Direct_LLM_Scoring,2,Appliance,-0.0769,-0.1,0.2,0.7077,0.2843,0.3451,1.2139,0.3163,0.3771,0.1962,0.2474,0.3726,0.4333,0.2469,0.2979,65,0,0,qwen
Direct_LLM_Scoring,2,Shower,0.1111,0.1083,0.3833,0.6833,0.2069,0.2657,1.2842,0.2101,0.1982,0.1664,0.2529,0.2656,0.2575,0.222,0.3103,60,0,0,qwen
Direct_LLM_Scoring,3,Overall,0.0275,0.0335,0.3093,0.701,0.2343,0.2934,1.2522,0.2555,0.2764,0.1905,0.2147,0.3097,0.338,0.2437,0.2733,194,1,195,qwen
Direct_LLM_Scoring,3,HVAC,-0.0476,-0.05,0.3,0.6571,0.2138,0.2639,1.2343,0.2548,0.2533,0.1994,0.1477,0.3003,0.2987,0.2514,0.1898,70,0,0,qwen
Direct_LLM_Scoring,3,Appliance,-0.0313,-0.0312,0.2344,0.6719,0.2798,0.3444,1.2309,0.3019,0.3731,0.1967,0.2475,0.3606,0.4352,0.2527,0.3018,64,0,0,qwen
Direct_LLM_Scoring,3,Shower,0.1778,0.2,0.4,0.7833,0.2095,0.2655,1.2673,0.2068,0.2001,0.1734,0.2578,0.2574,0.2517,0.2239,0.3198,60,0,0,qwen
Direct_LLM_Scoring,4,Overall,-0.0564,-0.0692,0.2769,0.6462,0.2351,0.2948,1.2539,0.253,0.2721,0.1993,0.2159,0.3109,0.3365,0.2523,0.2722,195,0,195,qwen
Direct_LLM_Scoring,4,HVAC,-0.0571,-0.0786,0.3286,0.6429,0.2189,0.2734,1.249,0.2509,0.2499,0.2133,0.1616,0.3042,0.303,0.2686,0.2064,70,0,0,qwen
Direct_LLM_Scoring,4,Appliance,-0.0462,-0.0615,0.2308,0.6154,0.2818,0.3423,1.2147,0.3053,0.3702,0.2017,0.2499,0.3608,0.4284,0.2537,0.3011,65,0,0,qwen
Direct_LLM_Scoring,4,Shower,-0.0667,-0.0667,0.2667,0.6833,0.2033,0.2613,1.2853,0.1988,0.1916,0.1803,0.2426,0.2554,0.2492,0.2302,0.3047,60,0,0,qwen
Direct_LLM_Scoring,5,Overall,0.0412,0.0361,0.3247,0.6546,0.2327,0.2946,1.266,0.2531,0.2723,0.1932,0.2124,0.3087,0.3382,0.2483,0.2752,194,1,195,qwen
Direct_LLM_Scoring,5,HVAC,0.0435,0.029,0.2899,0.7101,0.2154,0.2689,1.2484,0.2499,0.2496,0.212,0.1504,0.2961,0.2956,0.272,0.2004,69,0,0,qwen
Direct_LLM_Scoring,5,Appliance,-0.0051,-0.0154,0.2769,0.6462,0.2823,0.3465,1.2274,0.3102,0.3749,0.1986,0.2454,0.3651,0.4376,0.2495,0.3051,65,0,0,qwen
Direct_LLM_Scoring,5,Shower,0.0889,0.1,0.4167,0.6,0.199,0.2595,1.304,0.1949,0.1874,0.1657,0.2479,0.2507,0.249,0.2162,0.3128,60,0,0,qwen
Example-Guided_LLM_Scoring,1,Overall,0.1624,0.1769,0.4462,0.7282,0.1945,0.2637,1.3558,0.1981,0.1947,0.1953,0.1901,0.2634,0.2648,0.2662,0.2602,195,0,195,qwen
Example-Guided_LLM_Scoring,1,HVAC,0.181,0.2071,0.4429,0.7286,0.1765,0.232,1.3144,0.1937,0.1924,0.1911,0.1287,0.2477,0.2447,0.2499,0.1776,70,0,0,qwen
Example-Guided_LLM_Scoring,1,Appliance,0.2,0.1923,0.4769,0.7846,0.2239,0.3063,1.368,0.2092,0.2043,0.2493,0.2328,0.2911,0.3011,0.3205,0.3118,65,0,0,qwen
Example-Guided_LLM_Scoring,1,Shower,0.1,0.125,0.4167,0.6667,0.1838,0.248,1.3493,0.1913,0.1869,0.1417,0.2155,0.2495,0.2445,0.2148,0.2791,60,0,0,qwen
Example-Guided_LLM_Scoring,2,Overall,0.1966,0.2026,0.441,0.7795,0.1962,0.2639,1.3451,0.1986,0.1948,0.2009,0.1905,0.2638,0.2635,0.2692,0.2589,195,0,195,qwen
Example-Guided_LLM_Scoring,2,HVAC,0.1429,0.1429,0.3571,0.8,0.1764,0.2317,1.3135,0.1893,0.1882,0.2007,0.1274,0.2444,0.2401,0.2616,0.1701,70,0,0,qwen
Example-Guided_LLM_Scoring,2,Appliance,0.3128,0.3385,0.5692,0.8615,0.228,0.307,1.3465,0.208,0.2045,0.2506,0.249,0.291,0.2974,0.3178,0.321,65,0,0,qwen
Example-Guided_LLM_Scoring,2,Shower,0.1333,0.125,0.4,0.6667,0.1848,0.2481,1.3425,0.1992,0.1921,0.1472,0.2008,0.2545,0.2501,0.2152,0.2693,60,0,0,qwen
Example-Guided_LLM_Scoring,3,Overall,0.2239,0.2436,0.5077,0.759,0.1856,0.2508,1.3513,0.1914,0.1877,0.1846,0.1787,0.2535,0.2546,0.2549,0.2402,195,0,195,qwen
