architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
Direct_LLM_Scoring,1,Overall,0.209,0.2228,0.4197,0.7513,0.2319,0.3016,1.3006,0.2398,0.2644,0.1974,0.2259,0.3141,0.3454,0.2536,0.2857,193,2,195,deepseek
Direct_LLM_Scoring,1,HVAC,-0.0667,-0.0571,0.2286,0.6429,0.2139,0.281,1.3137,0.248,0.2451,0.1842,0.1781,0.3209,0.3155,0.2409,0.2353,70,0,0,deepseek
Direct_LLM_Scoring,1,Appliance,0.1111,0.1111,0.381,0.6984,0.2748,0.352,1.2809,0.295,0.3811,0.2075,0.2156,0.3756,0.4587,0.2614,0.2752,63,0,0,deepseek
Direct_LLM_Scoring,1,Shower,0.6333,0.6667,0.6833,0.9333,0.2078,0.2654,1.2772,0.1723,0.1643,0.2022,0.2924,0.2214,0.2164,0.2597,0.3442,60,0,0,deepseek
Direct_LLM_Scoring,2,Overall,0.0997,0.1082,0.3608,0.7268,0.2294,0.3008,1.3112,0.2379,0.2625,0.1943,0.223,0.3138,0.3502,0.2491,0.2806,194,1,195,deepseek
Direct_LLM_Scoring,2,HVAC,-0.2,-0.1929,0.1429,0.6286,0.2116,0.2782,1.3147,0.239,0.2351,0.1972,0.175,0.3156,0.3102,0.2466,0.2301,70,0,0,deepseek
Direct_LLM_Scoring,2,Appliance,-0.0154,-0.0308,0.2923,0.6462,0.2716,0.3534,1.3012,0.2994,0.3909,0.1695,0.2266,0.3803,0.4718,0.226,0.2852,65,0,0,deepseek
Direct_LLM_Scoring,2,Shower,0.5819,0.6186,0.6949,0.9322,0.2041,0.261,1.2788,0.1686,0.1536,0.2182,0.2758,0.2152,0.2097,0.275,0.3263,59,0,0,deepseek
Direct_LLM_Scoring,3,Overall,0.1285,0.1302,0.3594,0.7083,0.2356,0.307,1.3031,0.2408,0.2635,0.2146,0.2235,0.318,0.3509,0.2753,0.2775,192,3,195,deepseek
Direct_LLM_Scoring,3,HVAC,-0.0628,-0.0507,0.2464,0.6522,0.2134,0.2772,1.299,0.2432,0.2411,0.2107,0.1585,0.3173,0.3132,0.2598,0.2025,69,0,0,deepseek
Direct_LLM_Scoring,3,Appliance,-0.0208,-0.0469,0.2812,0.6094,0.276,0.3552,1.287,0.2978,0.3808,0.2016,0.224,0.3786,0.4665,0.2588,0.2773,64,0,0,deepseek
Direct_LLM_Scoring,3,Shower,0.5141,0.5339,0.5763,0.8814,0.2177,0.2829,1.2995,0.1762,0.1624,0.2332,0.2989,0.2362,0.2233,0.3084,0.3454,59,0,0,deepseek
Direct_LLM_Scoring,4,Overall,0.1512,0.1418,0.3557,0.7113,0.231,0.2987,1.2931,0.2407,0.2676,0.1937,0.2219,0.3113,0.3481,0.2454,0.2804,194,1,195,deepseek
Direct_LLM_Scoring,4,HVAC,-0.0286,-0.0357,0.2286,0.6571,0.2158,0.2779,1.2878,0.2482,0.247,0.1955,0.1727,0.3193,0.3143,0.2382,0.2268,70,0,0,deepseek
Direct_LLM_Scoring,4,Appliance,-0.0051,-0.0538,0.3077,0.5692,0.271,0.348,1.2841,0.2889,0.3809,0.1955,0.2186,0.3607,0.4588,0.2549,0.2809,65,0,0,deepseek
Direct_LLM_Scoring,4,Shower,0.5367,0.5678,0.5593,0.9322,0.2048,0.2615,1.2769,0.1788,0.1673,0.1895,0.2838,0.2333,0.222,0.2432,0.3325,59,0,0,deepseek
Direct_LLM_Scoring,5,Overall,0.1316,0.1231,0.3385,0.7128,0.2292,0.3006,1.3115,0.2441,0.2679,0.1868,0.2178,0.3218,0.3497,0.2425,0.277,195,0,195,deepseek
Direct_LLM_Scoring,5,HVAC,-0.1524,-0.1786,0.1429,0.6143,0.2182,0.2848,1.3052,0.2602,0.2586,0.1886,0.1656,0.3355,0.33,0.237,0.2163,70,0,0,deepseek
Direct_LLM_Scoring,5,Appliance,0.0769,0.0462,0.3231,0.6308,0.265,0.346,1.3057,0.2917,0.3713,0.1847,0.2122,0.3751,0.4525,0.2421,0.2735,65,0,0,deepseek
Direct_LLM_Scoring,5,Shower,0.5222,0.5583,0.5833,0.9167,0.2031,0.2632,1.2959,0.1738,0.1666,0.1872,0.2848,0.2297,0.2202,0.2493,0.3371,60,0,0,deepseek
Example-Guided_LLM_Scoring,1,Overall,0.3436,0.3615,0.5744,0.8051,0.1682,0.2376,1.4126,0.177,0.1662,0.178,0.1515,0.2493,0.2398,0.2444,0.2155,195,0,195,deepseek
Example-Guided_LLM_Scoring,1,HVAC,0.0095,0.0071,0.3571,0.6143,0.1552,0.2187,1.4091,0.1705,0.166,0.1725,0.1118,0.2345,0.2278,0.2412,0.1618,70,0,0,deepseek
Example-Guided_LLM_Scoring,1,Appliance,0.4974,0.5308,0.7846,0.9077,0.2043,0.2784,1.3627,0.2123,0.1907,0.2208,0.1933,0.292,0.2752,0.2847,0.2608,65,0,0,deepseek
Example-Guided_LLM_Scoring,1,Shower,0.5667,0.5917,0.6,0.9167,0.1442,0.2091,1.4501,0.1463,0.1398,0.1381,0.1526,0.2133,0.2105,0.1962,0.216,60,0,0,deepseek
Example-Guided_LLM_Scoring,2,Overall,0.3368,0.3667,0.5641,0.8462,0.1667,0.2346,1.4073,0.1729,0.1627,0.1767,0.1545,0.2414,0.2329,0.2435,0.2198,195,0,195,deepseek
Example-Guided_LLM_Scoring,2,HVAC,0.019,0.0071,0.3,0.6857,0.1512,0.2122,1.4034,0.1667,0.1661,0.1646,0.1073,0.2261,0.2249,0.231,0.1583,70,0,0,deepseek
Example-Guided_LLM_Scoring,2,Appliance,0.4154,0.4846,0.7538,0.9385,0.2093,0.2824,1.3493,0.2177,0.1943,0.2292,0.1962,0.2924,0.2757,0.2935,0.2671,65,0,0,deepseek
Example-Guided_LLM_Scoring,2,Shower,0.6222,0.6583,0.6667,0.9333,0.1387,0.1998,1.4405,0.1316,0.1246,0.134,0.1646,0.1927,0.187,0.1926,0.2248,60,0,0,deepseek
Example-Guided_LLM_Scoring,3,Overall,0.2581,0.2821,0.4974,0.8103,0.168,0.2366,1.4083,0.1742,0.1637,0.1781,0.1559,0.2448,0.2349,0.2451,0.221,195,0,195,deepseek
Example-Guided_LLM_Scoring,3,HVAC,0.0095,0.0071,0.2857,0.7,0.1556,0.2169,1.394,0.1725,0.1693,0.1734,0.1071,0.2325,0.2281,0.2408,0.1556,70,0,0,deepseek
Example-Guided_LLM_Scoring,3,Appliance,0.3231,0.3769,0.6308,0.8615,0.209,0.2834,1.356,0.2163,0.1915,0.225,0.2033,0.2931,0.276,0.2917,0.272,65,0,0,deepseek
Example-Guided_LLM_Scoring,3,Shower,0.4778,0.5,0.6,0.8833,0.138,0.2002,1.4507,0.1307,0.1272,0.1328,0.1614,0.1967,0.1898,0.188,0.2243,60,0,0,deepseek
Example-Guided_LLM_Scoring,4,Overall,0.2855,0.3026,0.5282,0.7795,0.1674,0.2374,1.4182,0.1735,0.165,0.1764,0.1547,0.2454,0.24,0.2439,0.2196,195,0,195,deepseek
Example-Guided_LLM_Scoring,4,HVAC,0.0762,0.0643,0.3714,0.6429,0.1553,0.2199,1.416,0.1746,0.1713,0.1652,0.11,0.2397,0.2342,0.2338,0.1629,70,0,0,deepseek
Example-Guided_LLM_Scoring,4,Appliance,0.4462,0.4846,0.6615,0.8923,0.2048,0.2805,1.3696,0.2055,0.1896,0.2297,0.1942,0.285,0.2778,0.296,0.2622,65,0,0,deepseek
Example-Guided_LLM_Scoring,4,Shower,0.3556,0.3833,0.5667,0.8167,0.141,0.2039,1.4461,0.1374,0.1308,0.1318,0.1639,0.2019,0.1988,0.186,0.2266,60,0,0,deepseek
Example-Guided_LLM_Scoring,5,Overall,0.3094,0.341,0.5128,0.8154,0.1683,0.2364,1.4046,0.1735,0.165,0.1801,0.1547,0.2395,0.2334,0.2495,0.2221,195,0,195,deepseek
Example-Guided_LLM_Scoring,5,HVAC,0.0952,0.1,0.3286,0.6714,0.1589,0.2204,1.387,0.1783,0.1757,0.172,0.1095,0.2356,0.2323,0.2422,0.162,70,0,0,deepseek
Example-Guided_LLM_Scoring,5,Appliance,0.4051,0.4538,0.6769,0.9077,0.2061,0.2786,1.3518,0.2062,0.1885,0.2327,0.1971,0.2783,0.27,0.2991,0.2656,65,0,0,deepseek
Example-Guided_LLM_Scoring,5,Shower,0.4556,0.5,0.55,0.8833,0.1385,0.2021,1.4592,0.1326,0.1271,0.1327,0.1615,0.1944,0.1875,0.1924,0.231,60,0,0,deepseek
LLM-Parameterized_Reference_Scoring,1,Overall,0.9009,0.9128,0.9231,0.9846,0.0395,0.0781,1.9772,0.0608,0.0711,0.0089,0.017,0.0925,0.109,0.0398,0.0485,195,0,195,deepseek
LLM-Parameterized_Reference_Scoring,1,HVAC,0.9238,0.9429,0.9286,1.0,0.045,0.0731,1.6244,0.0761,0.074,0.0,0.03,0.102,0.097,0.0,0.0391,70,0,0,deepseek
LLM-Parameterized_Reference_Scoring,1,Appliance,0.959,0.9692,0.9846,1.0,0.0456,0.0936,2.0526,0.0741,0.1084,0.0,0.0,0.1095,0.152,0.0,0.0,65,0,0,deepseek
LLM-Parameterized_Reference_Scoring,1,Shower,0.8111,0.8167,0.85,0.95,0.0262,0.0639,2.4389,0.0283,0.0273,0.029,0.0204,0.0519,0.0511,0.0718,0.0765,60,0,0,deepseek
LLM-Parameterized_Reference_Scoring,2,Overall,0.89,0.9046,0.8969,0.9742,0.0465,0.0957,2.0581,0.0711,0.0848,0.009,0.0211,0.1195,0.1321,0.0399,0.0579,194,1,195,deepseek
LLM-Parameterized_Reference_Scoring,2,HVAC,0.913,0.9275,0.913,0.9855,0.0441,0.094,2.1315,0.0726,0.0718,0.0,0.032,0.1322,0.1273,0.0,0.0405,69,0,0,deepseek
LLM-Parameterized_Reference_Scoring,2,Appliance,0.9795,0.9846,0.9846,1.0,0.0387,0.0848,2.1912,0.0566,0.0984,0.0,0.0,0.0942,0.141,0.0,0.0,65,0,0,deepseek
LLM-Parameterized_Reference_Scoring,2,Shower,0.7667,0.7917,0.7833,0.9333,0.0576,0.1081,1.8767,0.0852,0.085,0.029,0.0313,0.1282,0.1274,0.0718,0.0946,60,0,0,deepseek
LLM-Parameterized_Reference_Scoring,3,Overall,0.894,0.9051,0.9026,0.9744,0.0462,0.0943,2.0411,0.0701,0.0834,0.0089,0.0223,0.1184,0.1279,0.0398,0.0603,195,0,195,deepseek
LLM-Parameterized_Reference_Scoring,3,HVAC,0.9048,0.9143,0.9,0.9857,0.043,0.0901,2.0953,0.072,0.067,0.0,0.0328,0.1325,0.1147,0.0,0.0416,70,0,0,deepseek
LLM-Parameterized_Reference_Scoring,3,Appliance,0.9795,0.9846,0.9846,1.0,0.0423,0.0883,2.0875,0.0622,0.1072,0.0,0.0,0.0979,0.1469,0.0,0.0,65,0,0,deepseek
LLM-Parameterized_Reference_Scoring,3,Shower,0.7889,0.8083,0.8167,0.9333,0.0542,0.105,1.9373,0.0765,0.0768,0.029,0.0343,0.1212,0.1202,0.0718,0.0989,60,0,0,deepseek
LLM-Parameterized_Reference_Scoring,4,Overall,0.9043,0.9179,0.9077,0.9795,0.0427,0.0839,1.9649,0.0638,0.0778,0.0089,0.0201,0.1024,0.1146,0.0398,0.0544,195,0,195,deepseek
LLM-Parameterized_Reference_Scoring,4,HVAC,0.9333,0.9429,0.9286,0.9857,0.0384,0.071,1.849,0.0615,0.0597,0.0,0.0324,0.1019,0.0899,0.0,0.0415,70,0,0,deepseek
LLM-Parameterized_Reference_Scoring,4,Appliance,0.9795,0.9846,0.9846,1.0,0.037,0.077,2.0811,0.0523,0.0956,0.0,0.0,0.081,0.1309,0.0,0.0,65,0,0,deepseek
LLM-Parameterized_Reference_Scoring,4,Shower,0.7889,0.8167,0.8,0.95,0.0538,0.1029,1.9126,0.0791,0.0798,0.029,0.0274,0.122,0.1212,0.0718,0.0872,60,0,0,deepseek
LLM-Parameterized_Reference_Scoring,5,Overall,0.8974,0.9103,0.9077,0.9744,0.0493,0.1066,2.1623,0.0759,0.0887,0.0089,0.0236,0.1377,0.1448,0.0398,0.0628,195,0,195,deepseek
LLM-Parameterized_Reference_Scoring,5,HVAC,0.9238,0.9357,0.9286,0.9857,0.0531,0.1238,2.3315,0.0918,0.0877,0.0,0.0329,0.1792,0.166,0.0,0.0411,70,0,0,deepseek
LLM-Parameterized_Reference_Scoring,5,Appliance,0.9795,0.9846,0.9846,1.0,0.0382,0.0837,2.1911,0.0553,0.0975,0.0,0.0,0.0921,0.1398,0.0,0.0,65,0,0,deepseek
LLM-Parameterized_Reference_Scoring,5,Shower,0.7778,0.8,0.8,0.9333,0.0569,0.107,1.8805,0.0797,0.0803,0.029,0.0384,0.1223,0.1217,0.0718,0.1041,60,0,0,deepseek
Direct_LLM_Scoring,1,Overall,0.1897,0.2,0.3846,0.7026,0.2164,0.2922,1.3503,0.2433,0.246,0.1656,0.2108,0.3298,0.3348,0.2265,0.2635,195,0,195,gemini
Direct_LLM_Scoring,1,HVAC,-0.019,0.0,0.2714,0.6143,0.2388,0.305,1.2772,0.2868,0.2753,0.2047,0.1884,0.3657,0.3502,0.2479,0.2327,70,0,0,gemini
Direct_LLM_Scoring,1,Appliance,-0.0154,-0.0615,0.2769,0.5692,0.2677,0.3544,1.3239,0.3272,0.3654,0.1584,0.2197,0.4071,0.4388,0.2444,0.2908,65,0,0,gemini
Direct_LLM_Scoring,1,Shower,0.6556,0.7167,0.6333,0.95,0.1349,0.1814,1.3447,0.1018,0.0823,0.128,0.2273,0.1335,0.1122,0.174,0.2664,60,0,0,gemini
Direct_LLM_Scoring,2,Overall,0.1624,0.1513,0.359,0.6718,0.2188,0.296,1.3528,0.2486,0.2484,0.1683,0.2101,0.336,0.3378,0.2306,0.265,195,0,195,gemini
Direct_LLM_Scoring,2,HVAC,-0.0476,-0.0714,0.2571,0.5714,0.2417,0.3081,1.2747,0.2911,0.2783,0.2019,0.1954,0.3701,0.3533,0.2471,0.2387,70,0,0,gemini
