model,scenario_name,weights_json,architecture,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,gap_rag_minus_pure,gap_param_minus_rag
gptoss,baseline,"{""energy_cost"": 0.3, ""environmental"": 0.35, ""comfort"": 0.2, ""practicality"": 0.15}",Direct_LLM_Scoring,0.04068000000000001,0.038459999999999994,0.33334,0.66462,0.22974,0.62624
gptoss,baseline,"{""energy_cost"": 0.3, ""environmental"": 0.35, ""comfort"": 0.2, ""practicality"": 0.15}",Example-Guided_LLM_Scoring,0.27042,0.28974,0.48,0.76922,0.22974,0.62624
gptoss,baseline,"{""energy_cost"": 0.3, ""environmental"": 0.35, ""comfort"": 0.2, ""practicality"": 0.15}",LLM-Parameterized_Reference_Scoring,0.89666,0.9107799999999999,0.91616,0.9812799999999999,0.22974,0.62624
gptoss,ene +0.05,"{""energy_cost"": 0.35, ""environmental"": 0.333333, ""comfort"": 0.183333, ""practicality"": 0.133333}",Direct_LLM_Scoring,0.08034,0.08874,0.36719999999999997,0.70564,0.22699999999999995,0.5823
gptoss,ene +0.05,"{""energy_cost"": 0.35, ""environmental"": 0.333333, ""comfort"": 0.183333, ""practicality"": 0.133333}",Example-Guided_LLM_Scoring,0.30733999999999995,0.33024,0.50668,0.7918000000000001,0.22699999999999995,0.5823
gptoss,ene +0.05,"{""energy_cost"": 0.35, ""environmental"": 0.333333, ""comfort"": 0.183333, ""practicality"": 0.133333}",LLM-Parameterized_Reference_Scoring,0.88964,0.9061,0.9020999999999999,0.98712,0.22699999999999995,0.5823
gptoss,ene -0.05,"{""energy_cost"": 0.25, ""environmental"": 0.366667, ""comfort"": 0.216667, ""practicality"": 0.166667}",Direct_LLM_Scoring,0.050260000000000006,0.04973999999999999,0.34052,0.68102,0.20241999999999996,0.63628
gptoss,ene -0.05,"{""energy_cost"": 0.25, ""environmental"": 0.366667, ""comfort"": 0.216667, ""practicality"": 0.166667}",Example-Guided_LLM_Scoring,0.25267999999999996,0.26924000000000003,0.47078,0.77128,0.20241999999999996,0.63628
gptoss,ene -0.05,"{""energy_cost"": 0.25, ""environmental"": 0.366667, ""comfort"": 0.216667, ""practicality"": 0.166667}",LLM-Parameterized_Reference_Scoring,0.88896,0.9050800000000001,0.91964,0.9941600000000002,0.20241999999999996,0.63628
gptoss,env +0.05,"{""energy_cost"": 0.283333, ""environmental"": 0.4, ""comfort"": 0.183333, ""practicality"": 0.133333}",Direct_LLM_Scoring,0.05366,0.055400000000000005,0.34768000000000004,0.6799999999999999,0.24686000000000002,0.5992
gptoss,env +0.05,"{""energy_cost"": 0.283333, ""environmental"": 0.4, ""comfort"": 0.183333, ""practicality"": 0.133333}",Example-Guided_LLM_Scoring,0.30052,0.31999999999999995,0.50154,0.7784799999999998,0.24686000000000002,0.5992
gptoss,env +0.05,"{""energy_cost"": 0.283333, ""environmental"": 0.4, ""comfort"": 0.183333, ""practicality"": 0.133333}",LLM-Parameterized_Reference_Scoring,0.89972,0.91838,0.90798,0.98712,0.24686000000000002,0.5992
gptoss,env -0.05,"{""energy_cost"": 0.316667, ""environmental"": 0.3, ""comfort"": 0.216667, ""practicality"": 0.166667}",Direct_LLM_Scoring,0.057080000000000006,0.056440000000000004,0.33948,0.6881999999999999,0.19759999999999994,0.64516
gptoss,env -0.05,"{""energy_cost"": 0.316667, ""environmental"": 0.3, ""comfort"": 0.216667, ""practicality"": 0.166667}",Example-Guided_LLM_Scoring,0.25467999999999996,0.27076,0.46563999999999994,0.7702800000000001,0.19759999999999994,0.64516
